# Hyperspectral spectrum export
# Source: data\images\221000_Odra_HS_Blok_A_008_VS_join_atm.hdr
# Pixel: col=1379  row=2310
# data ignore value: 15000.0
# reflectance scale factor: 10000.0
wavelength_nm,dn_value,valid
414.13,450,1
417.32,424,1
420.52,481,1
423.72,447,1
426.91,510,1
430.11,592,1
433.31,535,1
436.5,566,1
439.7,567,1
442.9,549,1
446.09,632,1
449.29,558,1
452.49,591,1
455.68,618,1
458.88,653,1
462.08,671,1
465.27,658,1
468.47,673,1
471.67,690,1
474.86,683,1
478.06,728,1
481.26,749,1
484.45,746,1
487.65,752,1
490.85,749,1
494.04,769,1
497.24,790,1
500.43,822,1
503.63,799,1
506.83,839,1
510.03,832,1
513.22,903,1
516.42,920,1
519.61,904,1
522.81,856,1
526.01,939,1
529.2,908,1
532.4,972,1
535.6,990,1
538.79,1026,1
541.99,1045,1
545.19,1033,1
548.38,1062,1
551.58,1053,1
554.78,1079,1
557.97,1132,1
561.17,1092,1
564.37,1121,1
567.56,1131,1
570.76,1172,1
573.96,1121,1
577.15,1157,1
580.35,1153,1
583.55,1184,1
586.74,1233,1
589.94,1234,1
593.14,1225,1
596.33,1204,1
599.53,1235,1
602.73,1262,1
605.92,1261,1
609.12,1300,1
612.32,1256,1
615.51,1301,1
618.71,1288,1
621.91,1341,1
625.1,1359,1
628.3,1373,1
631.5,1365,1
634.69,1381,1
637.89,1392,1
641.09,1428,1
644.28,1448,1
647.48,1490,1
650.67,1416,1
653.87,1412,1
657.07,1456,1
660.27,1378,1
663.46,1460,1
666.66,1493,1
669.85,1473,1
673.05,1521,1
676.25,1523,1
679.45,1497,1
682.64,1553,1
685.84,1719,1
689.03,1731,1
692.23,1742,1
695.43,1754,1
698.62,1766,1
701.82,1778,1
705.02,1789,1
708.21,1801,1
711.41,1813,1
714.61,1825,1
717.8,1836,1
721,1848,1
724.2,1860,1
727.39,1871,1
730.59,1883,1
733.79,1895,1
736.98,1907,1
740.18,1918,1
743.38,1915,1
746.57,2003,1
749.77,2020,1
752.97,2032,1
756.16,2043,1
759.36,2055,1
762.56,2067,1
765.75,2079,1
768.95,2091,1
772.15,2103,1
775.34,2180,1
778.54,2165,1
781.74,2203,1
784.93,2178,1
788.13,2191,1
791.33,2200,1
794.52,2209,1
797.72,2218,1
800.92,2227,1
804.11,2236,1
807.31,2245,1
810.51,2253,1
813.7,2262,1
816.9,2271,1
820.1,2280,1
823.29,2289,1
826.49,2298,1
829.68,2307,1
832.88,2316,1
836.08,2325,1
839.28,2334,1
842.47,2343,1
845.67,2364,1
848.86,2484,1
852.06,2482,1
855.26,2430,1
858.46,2323,1
861.65,2439,1
864.85,2545,1
868.04,2511,1
871.24,2360,1
874.44,2298,1
877.63,2504,1
880.83,2370,1
884.03,2378,1
887.22,2560,1
890.42,2420,1
893.62,2420,1
896.81,2419,1
900.01,2418,1
903.21,2417,1
906.4,2417,1
909.6,2417,1
912.8,2416,1
915.99,2416,1
919.19,2418,1
922.39,2419,1
925.58,2421,1
928.78,2422,1
931.98,2423,1
935.17,2425,1
938.37,2427,1
941.57,2429,1
944.76,2429,1
947.96,2432,1
951.16,2435,1
954.35,2438,1
957.55,2439,1
960.75,2440,1
963.94,2440,1
967.14,2439,1
970.1,2439,1
975.54,2438,1
980.98,2436,1
986.42,2432,1
991.86,2429,1
997.3,2429,1
1002.74,2433,1
1008.18,2422,1
1013.62,2480,1
1019.06,2541,1
1024.5,2525,1
1029.95,2514,1
1035.39,2498,1
1040.83,2500,1
1046.27,2520,1
1051.71,2560,1
1057.15,2626,1
1062.59,2654,1
1068.03,2664,1
1073.47,2583,1
1078.91,2588,1
1084.35,2574,1
1089.79,2581,1
1095.23,2579,1
1100.67,2574,1
1106.11,2570,1
1111.55,2567,1
1116.99,2567,1
1122.43,2565,1
1127.87,2558,1
1133.32,2553,1
1138.76,2556,1
1144.2,2561,1
1149.64,2563,1
1155.08,2556,1
1160.52,2548,1
1165.96,2544,1
1171.4,2538,1
1176.84,2530,1
1182.28,2527,1
1187.72,2554,1
1193.16,2581,1
1198.6,2807,1
1204.04,2666,1
1209.48,2753,1
1214.92,2709,1
1220.36,2786,1
1225.8,2870,1
1231.24,2881,1
1236.69,2941,1
1242.13,3018,1
1247.57,3015,1
1253.01,3080,1
1258.45,3162,1
1263.89,3225,1
1269.33,3132,1
1274.77,2945,1
1280.21,3134,1
1285.65,3071,1
1291.09,3167,1
1296.53,3204,1
1301.97,3193,1
1307.41,3188,1
1312.85,3211,1
1318.29,3028,1
1323.73,3056,1
1329.17,3614,1
1334.61,3547,1
1340.06,3473,1
1345.5,3394,1
1350.94,3312,1
1356.38,3228,1
1361.82,3145,1
1367.26,3064,1
1372.7,2987,1
1378.14,2915,1
1383.58,2846,1
1389.02,2781,1
1394.46,2719,1
1399.9,2659,1
1405.34,2599,1
1410.78,2539,1
1416.22,2480,1
1421.66,2420,1
1427.1,2362,1
1432.54,2304,1
1437.98,2249,1
1443.43,2195,1
1448.87,2145,1
1454.31,2096,1
1459.75,2048,1
1465.19,2001,1
1470.63,1953,1
1476.07,1903,1
1481.51,1850,1
1486.95,1791,1
1492.39,1732,1
1497.83,1900,1
1503.27,2123,1
1508.71,2114,1
1514.15,2406,1
1519.59,2464,1
1525.03,2586,1
1530.47,2650,1
1535.91,2778,1
1541.35,2835,1
1546.8,2875,1
1552.24,2908,1
1557.68,2970,1
1563.12,2931,1
1568.56,3106,1
1574,2990,1
1579.44,2912,1
1584.88,2937,1
1590.32,2978,1
1595.76,2960,1
1601.2,3099,1
1606.64,3095,1
1612.08,3150,1
1617.52,3052,1
1622.96,3119,1
1628.4,3198,1
1633.84,3172,1
1639.28,3240,1
1644.72,3208,1
1650.17,3215,1
1655.61,3210,1
1661.05,3231,1
1666.49,3217,1
1671.93,3219,1
1677.37,3271,1
1682.81,3272,1
1688.25,3226,1
1693.69,3209,1
1699.13,3186,1
1704.57,3166,1
1710.01,3145,1
1715.45,3142,1
1720.89,3117,1
1726.33,3068,1
1731.77,3039,1
1737.21,3140,1
1742.65,3024,1
1748.09,3061,1
1753.54,3095,1
1758.98,2993,1
1764.42,2997,1
1769.86,2742,1
1775.3,2802,1
1780.74,2777,1
1786.18,2750,1
1791.62,2719,1
1797.06,2686,1
1802.5,2652,1
