# Hyperspectral spectrum export
# Source: data\images\221000_Odra_HS_Blok_A_013_VS_join_atm.hdr
# Pixel: col=3014  row=1039
# data ignore value: 15000.0
# reflectance scale factor: 10000.0
wavelength_nm,dn_value,valid
414.13,173,1
417.32,203,1
420.52,175,1
423.72,201,1
426.91,206,1
430.11,247,1
433.31,171,1
436.5,205,1
439.7,203,1
442.9,206,1
446.09,225,1
449.29,189,1
452.49,204,1
455.68,213,1
458.88,216,1
462.08,212,1
465.27,211,1
468.47,208,1
471.67,196,1
474.86,219,1
478.06,223,1
481.26,240,1
484.45,241,1
487.65,227,1
490.85,236,1
494.04,216,1
497.24,252,1
500.43,273,1
503.63,259,1
506.83,273,1
510.03,278,1
513.22,307,1
516.42,342,1
519.61,339,1
522.81,365,1
526.01,417,1
529.2,434,1
532.4,470,1
535.6,492,1
538.79,546,1
541.99,547,1
545.19,546,1
548.38,542,1
551.58,559,1
554.78,579,1
557.97,585,1
561.17,555,1
564.37,543,1
567.56,517,1
570.76,516,1
573.96,480,1
577.15,464,1
580.35,445,1
583.55,430,1
586.74,440,1
589.94,427,1
593.14,418,1
596.33,415,1
599.53,414,1
602.73,418,1
605.92,420,1
609.12,414,1
612.32,408,1
615.51,395,1
618.71,395,1
621.91,383,1
625.1,393,1
628.3,377,1
631.5,369,1
634.69,373,1
637.89,365,1
641.09,372,1
644.28,368,1
647.48,375,1
650.67,349,1
653.87,351,1
657.07,341,1
660.27,312,1
663.46,328,1
666.66,319,1
669.85,307,1
673.05,322,1
676.25,321,1
679.45,321,1
682.64,318,1
685.84,356,1
689.03,501,1
692.23,647,1
695.43,792,1
698.62,937,1
701.82,1082,1
705.02,1227,1
708.21,1372,1
711.41,1517,1
714.61,1662,1
717.8,1807,1
721,1952,1
724.2,2097,1
727.39,2242,1
730.59,2387,1
733.79,2533,1
736.98,2678,1
740.18,2823,1
743.38,2983,1
746.57,3158,1
749.77,3215,1
752.97,3247,1
756.16,3278,1
759.36,3309,1
762.56,3341,1
765.75,3372,1
768.95,3403,1
772.15,3435,1
775.34,3501,1
778.54,3599,1
781.74,3532,1
784.93,3584,1
788.13,3579,1
791.33,3590,1
794.52,3602,1
797.72,3614,1
800.92,3625,1
804.11,3637,1
807.31,3648,1
810.51,3660,1
813.7,3671,1
816.9,3683,1
820.1,3695,1
823.29,3706,1
826.49,3718,1
829.68,3729,1
832.88,3741,1
836.08,3752,1
839.28,3764,1
842.47,3776,1
845.67,3797,1
848.86,3884,1
852.06,3855,1
855.26,3860,1
858.46,3756,1
861.65,3813,1
864.85,3960,1
868.04,3868,1
871.24,3768,1
874.44,3833,1
877.63,3867,1
880.83,3912,1
884.03,3880,1
887.22,3934,1
890.42,3911,1
893.62,3998,1
896.81,4004,1
900.01,4007,1
903.21,4013,1
906.4,4012,1
909.6,4013,1
912.8,4015,1
915.99,4015,1
919.19,4010,1
