wavelength_nm,reflectance
414.13,0.0387
417.32,0.0376
420.52,0.0381
423.72,0.0384
426.91,0.0391
430.11,0.0421
433.31,0.0354
436.5,0.0376
439.7,0.0378
442.9,0.0357
446.09,0.0359
449.29,0.0343
452.49,0.0353
455.68,0.0342
458.88,0.0359
462.08,0.0348
465.27,0.0341
468.47,0.0328
471.67,0.033
474.86,0.0338
478.06,0.0354
481.26,0.0358
484.45,0.0355
487.65,0.0353
490.85,0.0349
494.04,0.0345
497.24,0.0372
500.43,0.0374
503.63,0.0349
506.83,0.0367
510.03,0.0376
513.22,0.0393
516.42,0.042
519.61,0.0402
522.81,0.0398
526.01,0.0415
529.2,0.0413
532.4,0.0436
535.6,0.0423
538.79,0.0445
541.99,0.0447
545.19,0.0441
548.38,0.0446
551.58,0.0455
554.78,0.0459
557.97,0.0464
561.17,0.0466
564.37,0.0442
567.56,0.0455
570.76,0.0478
573.96,0.0488
577.15,0.0493
580.35,0.0484
583.55,0.0537
586.74,0.0652
589.94,0.0767
593.14,0.0862
596.33,0.0964
599.53,0.1059
602.73,0.1186
605.92,0.1315
609.12,0.1392
612.32,0.1517
615.51,0.1639
618.71,0.1698
621.91,0.1746
625.1,0.1828
628.3,0.1846
631.5,0.1863
634.69,0.1903
637.89,0.1931
641.09,0.1977
644.28,0.2002
647.48,0.2077
650.67,0.2056
653.87,0.2045
657.07,0.2074
660.27,0.1992
663.46,0.2094
666.66,0.2125
669.85,0.2145
673.05,0.2172
676.25,0.2161
679.45,0.2147
682.64,0.2154
685.84,0.2362
689.03,0.2386
692.23,0.241
695.43,0.2435
698.62,0.2459
701.82,0.2483
705.02,0.2507
708.21,0.2531
711.41,0.2543
714.61,0.2552
717.8,0.2562
721.0,0.2571
724.2,0.2581
727.39,0.259
730.59,0.2599
733.79,0.2662
736.98,0.2675
740.18,0.2691
743.38,0.2725
746.57,0.2779
749.77,0.278
752.97,0.2769
756.16,0.2781
759.36,0.2811
762.56,0.2842
765.75,0.2872
768.95,0.2903
772.15,0.2885
775.34,0.2968
778.54,0.2979
781.74,0.295
784.93,0.292
788.13,0.2936
791.33,0.2922
794.52,0.2908
797.72,0.2894
800.92,0.2884
804.11,0.2886
807.31,0.2888
810.51,0.2888
813.7,0.2881
816.9,0.2874
820.1,0.2867
823.29,0.2871
826.49,0.2885
829.68,0.2901
832.88,0.2903
836.08,0.2905
839.28,0.2907
842.47,0.2893
845.67,0.2886
848.86,0.2923
852.06,0.2873
855.26,0.2874
858.46,0.2754
861.65,0.2821
864.85,0.2934
868.04,0.2837
871.24,0.2804
874.44,0.284
877.63,0.2798
880.83,0.2863
884.03,0.2858
887.22,0.2911
890.42,0.2888
893.62,0.292
896.81,0.2918
900.01,0.2933
903.21,0.2923
906.4,0.2938
909.6,0.2952
912.8,0.2966
915.99,0.2981
919.19,0.2998
922.39,0.3015
925.58,0.3032
928.78,0.3048
931.98,0.3064
935.17,0.3081
938.37,0.3093
941.57,0.3103
944.76,0.3064
947.96,0.3084
951.16,0.3074
954.35,0.3057
957.55,0.3038
960.75,0.3018
963.94,0.2998
967.14,0.3028
970.1,0.3059
975.54,0.3087
980.98,0.3088
986.42,0.3071
991.86,0.3113
997.3,0.313
1002.74,0.317
1008.18,0.3226
1013.62,0.3265
1019.06,0.3293
1024.5,0.3331
1029.95,0.3322
1035.39,0.3311
1040.83,0.3329
1046.27,0.337
1051.71,0.341
1057.15,0.3455
1062.59,0.3476
1068.03,0.3475
1073.47,0.3427
1078.91,0.335
1084.35,0.337
1089.79,0.3393
1095.23,0.3389
1100.67,0.338
1106.11,0.3371
1111.55,0.3363
1116.99,0.3355
1122.43,0.337
1127.87,0.3383
1133.32,0.34
1138.76,0.3429
1144.2,0.3461
1149.64,0.3487
1155.08,0.3502
1160.52,0.3514
1165.96,0.3505
1171.4,0.352
1176.84,0.3533
1182.28,0.3552
1187.72,0.3613
1193.16,0.3679
1198.6,0.3697
1204.04,0.3791
1209.48,0.3837
1214.92,0.3981
1220.36,0.3979
1225.8,0.4097
1231.24,0.4125
1236.69,0.4126
1242.13,0.4115
1247.57,0.4145
1253.01,0.4139
1258.45,0.4061
1263.89,0.4101
1269.33,0.4423
1274.77,0.4308
1280.21,0.4302
1285.65,0.4258
1291.09,0.4159
1296.53,0.4129
1301.97,0.4047
1307.41,0.3923
1312.85,0.3926
1318.29,0.3823
1323.73,0.3666
1329.17,0.3437
1334.61,0.3442
1340.06,0.3441
1345.5,0.3434
1350.94,0.3422
1356.38,0.3408
1361.82,0.3394
1367.26,0.3382
1372.7,0.3373
1378.14,0.3367
1383.58,0.3367
1389.02,0.3369
1394.46,0.3375
1399.9,0.3383
1405.34,0.3392
1410.78,0.3401
1416.22,0.341
1421.66,0.3419
1427.1,0.343
1432.54,0.3442
1437.98,0.3458
1443.43,0.3477
1448.87,0.3501
1454.31,0.3529
1459.75,0.3561
1465.19,0.3595
1470.63,0.3629
1476.07,0.3661
1481.51,0.3688
1486.95,0.3706
1492.39,0.3723
1497.83,0.3694
1503.27,0.3748
1508.71,0.3744
1514.15,0.3951
1519.59,0.3976
1525.03,0.4038
1530.47,0.4043
1535.91,0.4134
1541.35,0.4192
1546.8,0.4213
1552.24,0.4218
1557.68,0.4256
1563.12,0.4192
1568.56,0.434
1574.0,0.4277
1579.44,0.4245
1584.88,0.4222
1590.32,0.4243
1595.76,0.4169
1601.2,0.4361
1606.64,0.4358
1612.08,0.4496
1617.52,0.4255
1622.96,0.4312
1628.4,0.435
1633.84,0.4302
1639.28,0.4367
1644.72,0.436
1650.17,0.4312
1655.61,0.4334
1661.05,0.43
1666.49,0.4295
1671.93,0.4312
1677.37,0.4289
1682.81,0.4308
1688.25,0.4206
1693.69,0.4221
1699.13,0.4152
1704.57,0.4141
1710.01,0.4127
1715.45,0.4111
1720.89,0.4064
1726.33,0.4071
1731.77,0.3953
1737.21,0.4153
1742.65,0.405
1748.09,0.4145
1753.54,0.4095
1758.98,0.4066
1764.42,0.4036
1769.86,0.3762
1775.3,0.3727
1780.74,0.372
1786.18,0.371
1791.62,0.3695
1797.06,0.3677
1802.5,0.3656
1807.94,0.3633
1813.38,0.3611
1818.82,0.3588
1824.26,0.3567
1829.7,0.3547
1835.14,0.353
1840.58,0.3515
1846.02,0.3503
1851.46,0.3493
1856.91,0.3485
1862.35,0.3479
1867.79,0.3474
1873.23,0.3469
1878.67,0.3465
1884.11,0.3461
1889.55,0.3457
1894.99,0.3453
1900.43,0.345
1905.87,0.3447
1911.31,0.3445
1916.75,0.3445
1922.19,0.3447
1927.63,0.3451
1933.07,0.3458
1938.51,0.3467
1943.95,0.3478
1949.39,0.3497
1954.83,0.3518
1960.28,0.354
1965.72,0.3561
1971.16,0.358
1976.6,0.3597
1982.04,0.361
1987.48,0.3618
1992.92,0.3625
1998.36,0.3724
2003.8,0.4246
2009.24,0.351
2014.68,0.3792
2020.12,0.3458
2025.56,0.3671
2031.0,0.3796
2036.44,0.3961
2041.88,0.4044
2047.32,0.4061
2052.76,0.4165
2058.2,0.3846
2063.65,0.3991
2069.09,0.3836
2074.53,0.3941
2079.97,0.3896
2085.41,0.3987
2090.85,0.4021
2096.29,0.4001
2101.73,0.3972
2107.17,0.3963
2112.61,0.3982
2118.05,0.394
2123.49,0.3897
2128.93,0.3904
2134.37,0.3902
2139.81,0.3878
2145.25,0.3908
2150.69,0.4014
2156.13,0.3863
2161.57,0.3915
2167.02,0.3863
2172.46,0.3857
2177.9,0.3825
2183.34,0.384
2188.78,0.3763
2194.22,0.3865
2199.66,0.3874
2205.1,0.3747
2210.54,0.3728
2215.98,0.3883
2221.42,0.3824
2226.86,0.3742
2232.3,0.3624
2237.74,0.3574
2243.18,0.3524
2248.62,0.3292
2254.06,0.3163
2259.5,0.3068
2264.94,0.2984
2270.39,0.2946
2275.83,0.2972
2281.27,0.2907
2286.71,0.296
2292.15,0.297
2297.59,0.2885
2303.03,0.2748
2308.47,0.2901
2313.91,0.3068
2319.35,0.3051
2324.79,0.2731
2330.23,0.2873
2335.67,0.2926
2341.11,0.2954
2346.55,0.2771
2351.99,0.2732
2357.43,0.2646
2362.87,0.2838
2368.32,0.3371
2373.76,0.2787
2379.2,0.2916
2384.64,0.2967
2390.08,0.2492
2395.52,0.2675
2400.96,0.2779
2406.4,0.297
2411.84,0.3053
2417.28,0.3198
2422.72,0.2371
2428.16,0.2584
2433.6,0.4411
2439.04,0.2278
2444.48,0.4567
2449.92,0.3568
2455.36,0.1665
2460.8,0.3422
2466.24,0.3104
2471.69,0.3965
2477.13,0.2999
2482.57,0.6085
2488.01,0.4422
2493.45,0.5507
2498.89,0.211
