wavelength_nm,reflectance
414.13,0.0149
417.32,0.0152
420.52,0.0152
423.72,0.0157
426.91,0.0172
430.11,0.0184
433.31,0.0152
436.5,0.0162
439.7,0.0171
442.9,0.0164
446.09,0.0167
449.29,0.0161
452.49,0.0168
455.68,0.0157
458.88,0.0169
462.08,0.0158
465.27,0.016
468.47,0.0153
471.67,0.0156
474.86,0.0161
478.06,0.0165
481.26,0.0172
484.45,0.0171
487.65,0.0164
490.85,0.0161
494.04,0.0156
497.24,0.0172
500.43,0.018
503.63,0.017
506.83,0.0182
510.03,0.0184
513.22,0.0189
516.42,0.0215
519.61,0.0208
522.81,0.022
526.01,0.0246
529.2,0.0245
532.4,0.0265
535.6,0.0279
538.79,0.0296
541.99,0.0295
545.19,0.0301
548.38,0.0307
551.58,0.0308
554.78,0.0308
557.97,0.0317
561.17,0.0297
564.37,0.0299
567.56,0.0283
570.76,0.0278
573.96,0.0262
577.15,0.0254
580.35,0.0237
583.55,0.0237
586.74,0.0244
589.94,0.0238
593.14,0.0229
596.33,0.023
599.53,0.0232
602.73,0.0235
605.92,0.0225
609.12,0.0223
612.32,0.0213
615.51,0.0213
618.71,0.0206
621.91,0.0204
625.1,0.0204
628.3,0.0204
631.5,0.02
634.69,0.02
637.89,0.0202
641.09,0.0199
644.28,0.02
647.48,0.0199
650.67,0.0185
653.87,0.0185
657.07,0.0184
660.27,0.0167
663.46,0.0173
666.66,0.0173
669.85,0.017
673.05,0.0171
676.25,0.017
679.45,0.0171
682.64,0.0173
685.84,0.0199
689.03,0.0313
692.23,0.043
695.43,0.0556
698.62,0.0676
701.82,0.0788
705.02,0.0906
708.21,0.1025
711.41,0.1144
714.61,0.1264
717.8,0.1384
721.0,0.1504
724.2,0.1624
727.39,0.1744
730.59,0.1864
733.79,0.1984
736.98,0.2103
740.18,0.2223
743.38,0.2422
746.57,0.26
749.77,0.2711
752.97,0.2767
756.16,0.2829
759.36,0.2894
762.56,0.2965
765.75,0.3034
768.95,0.3095
772.15,0.3155
775.34,0.3212
778.54,0.3262
781.74,0.3252
784.93,0.3287
788.13,0.3294
791.33,0.3306
794.52,0.3319
797.72,0.3331
800.92,0.3343
804.11,0.3355
807.31,0.3367
810.51,0.3379
813.7,0.3392
816.9,0.3404
820.1,0.3416
823.29,0.3428
826.49,0.344
829.68,0.3453
832.88,0.3465
836.08,0.3477
839.28,0.3489
842.47,0.3501
845.67,0.3531
848.86,0.3607
852.06,0.3542
855.26,0.3523
858.46,0.3466
861.65,0.3557
864.85,0.3712
868.04,0.3541
871.24,0.3512
874.44,0.3519
877.63,0.3536
880.83,0.3573
884.03,0.3659
887.22,0.3664
890.42,0.3572
893.62,0.3715
896.81,0.3723
900.01,0.3716
903.21,0.3712
906.4,0.3705
909.6,0.3705
912.8,0.3705
915.99,0.3702
919.19,0.3688
922.39,0.3661
925.58,0.3664
928.78,0.3657
931.98,0.3641
935.17,0.3611
938.37,0.3585
941.57,0.3539
944.76,0.354
947.96,0.3519
951.16,0.347
954.35,0.3415
957.55,0.3383
960.75,0.3367
963.94,0.335
967.14,0.3334
970.1,0.3318
975.54,0.3306
980.98,0.3287
986.42,0.3277
991.86,0.3266
997.3,0.3259
1002.74,0.3293
1008.18,0.3271
1013.62,0.3365
1019.06,0.3457
1024.5,0.3468
1029.95,0.348
1035.39,0.3439
1040.83,0.3446
1046.27,0.3503
1051.71,0.3573
1057.15,0.368
1062.59,0.3683
1068.03,0.3722
1073.47,0.3618
1078.91,0.3607
1084.35,0.3624
1089.79,0.3541
1095.23,0.3501
1100.67,0.3476
1106.11,0.3441
1111.55,0.3404
1116.99,0.3361
1122.43,0.3309
1127.87,0.3253
1133.32,0.318
1138.76,0.3071
1144.2,0.2958
1149.64,0.2862
1155.08,0.2787
1160.52,0.2721
1165.96,0.2664
1171.4,0.2618
1176.84,0.2578
1182.28,0.2545
1187.72,0.2583
1193.16,0.2621
1198.6,0.2779
1204.04,0.2676
1209.48,0.2758
1214.92,0.272
1220.36,0.2807
1225.8,0.2884
1231.24,0.2913
1236.69,0.3008
1242.13,0.3068
1247.57,0.3094
1253.01,0.3154
1258.45,0.3254
1263.89,0.3272
1269.33,0.3167
1274.77,0.3026
1280.21,0.3154
1285.65,0.3092
1291.09,0.3141
1296.53,0.3128
1301.97,0.3134
1307.41,0.304
1312.85,0.2986
1318.29,0.2749
1323.73,0.2702
1329.17,0.3074
1334.61,0.2912
1340.06,0.2793
1345.5,0.2676
1350.94,0.2521
1356.38,0.2367
1361.82,0.2225
1367.26,0.21
1372.7,0.1978
1378.14,0.1821
1383.58,0.1643
1389.02,0.1474
1394.46,0.1314
1399.9,0.1162
1405.34,0.1043
1410.78,0.0937
1416.22,0.0836
1421.66,0.0767
1427.1,0.0704
1432.54,0.065
1437.98,0.0614
1443.43,0.0577
1448.87,0.0551
1454.31,0.0527
1459.75,0.0503
1465.19,0.0488
1470.63,0.0464
1476.07,0.0436
1481.51,0.04
1486.95,0.0399
1492.39,0.0401
1497.83,0.0447
1503.27,0.0522
1508.71,0.0526
1514.15,0.0607
1519.59,0.0649
1525.03,0.0697
1530.47,0.0741
1535.91,0.0799
1541.35,0.0846
1546.8,0.0885
1552.24,0.0932
1557.68,0.0962
1563.12,0.0983
1568.56,0.1074
1574.0,0.1065
1579.44,0.1052
1584.88,0.1097
1590.32,0.1133
1595.76,0.1143
1601.2,0.1214
1606.64,0.1241
1612.08,0.1277
1617.52,0.1243
1622.96,0.1275
1628.4,0.1324
1633.84,0.1333
1639.28,0.136
1644.72,0.1359
1650.17,0.1349
1655.61,0.137
1661.05,0.1388
1666.49,0.137
1671.93,0.137
1677.37,0.1379
1682.81,0.1398
1688.25,0.1356
1693.69,0.1338
1699.13,0.1326
1704.57,0.1301
1710.01,0.1256
1715.45,0.1254
1720.89,0.124
1726.33,0.1191
1731.77,0.1166
1737.21,0.1195
1742.65,0.1156
1748.09,0.1139
1753.54,0.1119
1758.98,0.1082
1764.42,0.107
1769.86,0.0973
1775.3,0.0996
