wavelength_nm,value
414.13,0.0174
417.32,0.0187
420.52,0.0161
423.72,0.0148
426.91,0.0149
430.11,0.0234
433.31,0.0179
436.5,0.0184
439.7,0.0198
442.9,0.0194
446.09,0.0186
449.29,0.0182
452.49,0.0195
455.68,0.0189
458.88,0.0187
462.08,0.0192
465.27,0.0191
468.47,0.0193
471.67,0.0209
474.86,0.0193
478.06,0.0204
481.26,0.0204
484.45,0.0216
487.65,0.0196
490.85,0.0212
494.04,0.0198
497.24,0.0208
500.43,0.0221
503.63,0.02
506.83,0.023
510.03,0.0211
513.22,0.0242
516.42,0.0272
519.61,0.0239
522.81,0.0269
526.01,0.0296
529.2,0.0299
532.4,0.0326
535.6,0.0346
538.79,0.0377
541.99,0.0362
545.19,0.0359
548.38,0.0382
551.58,0.0387
554.78,0.0379
557.97,0.0385
561.17,0.0363
564.37,0.0365
567.56,0.035
570.76,0.0321
573.96,0.032
577.15,0.0289
580.35,0.0301
583.55,0.0295
586.74,0.028
589.94,0.028
593.14,0.0286
596.33,0.0296
599.53,0.0275
602.73,0.0291
605.92,0.0291
609.12,0.0269
612.32,0.0264
615.51,0.0283
618.71,0.026
621.91,0.0259
625.1,0.0262
628.3,0.0258
631.5,0.0257
634.69,0.0259
637.89,0.0256
641.09,0.0263
644.28,0.0254
647.48,0.0256
650.67,0.0237
653.87,0.0239
657.07,0.0236
660.27,0.0215
663.46,0.0218
666.66,0.0232
669.85,0.0225
673.05,0.0234
676.25,0.0217
679.45,0.0223
682.64,0.0227
685.84,0.0261
689.03,0.0384
692.23,0.0508
695.43,0.0631
698.62,0.0755
701.82,0.0878
705.02,0.1002
708.21,0.1125
711.41,0.1248
714.61,0.1372
717.8,0.1495
721.0,0.1619
724.2,0.1742
727.39,0.1865
730.59,0.1989
733.79,0.2112
736.98,0.2236
740.18,0.2359
743.38,0.2563
746.57,0.2726
749.77,0.2857
752.97,0.2905
756.16,0.2952
759.36,0.3
762.56,0.3048
765.75,0.3095
768.95,0.3143
772.15,0.3191
775.34,0.3339
778.54,0.3281
781.74,0.3275
784.93,0.3282
788.13,0.3308
791.33,0.3322
794.52,0.3337
797.72,0.3352
800.92,0.3366
804.11,0.3381
807.31,0.3396
810.51,0.341
813.7,0.3425
816.9,0.344
820.1,0.3454
823.29,0.3469
826.49,0.3483
829.68,0.3498
832.88,0.3513
836.08,0.3527
839.28,0.3542
842.47,0.3557
845.67,0.3553
848.86,0.3676
852.06,0.3631
855.26,0.363
858.46,0.3536
861.65,0.3616
864.85,0.3753
868.04,0.3603
871.24,0.3462
874.44,0.3595
877.63,0.3552
880.83,0.3573
884.03,0.3551
887.22,0.3751
890.42,0.3706
893.62,0.3648
896.81,0.3655
900.01,0.3653
903.21,0.3654
906.4,0.3648
909.6,0.3644
912.8,0.3641
915.99,0.3635
919.19,0.3624
922.39,0.3611
925.58,0.36
928.78,0.359
931.98,0.3579
935.17,0.3555
938.37,0.3534
941.57,0.3515
944.76,0.3503
947.96,0.3484
951.16,0.3462
954.35,0.3442
957.55,0.3428
960.75,0.3417
963.94,0.3406
967.14,0.3395
970.1,0.3385
975.54,0.3377
980.98,0.3367
986.42,0.3365
991.86,0.3363
997.3,0.3353
1002.74,0.3376
1008.18,0.3367
1013.62,0.3455
1019.06,0.3565
1024.5,0.3587
1029.95,0.3555
1035.39,0.3513
1040.83,0.351
1046.27,0.3546
1051.71,0.3632
1057.15,0.3743
1062.59,0.3769
1068.03,0.3799
1073.47,0.3705
1078.91,0.3692
1084.35,0.3711
1089.79,0.3639
1095.23,0.3606
1100.67,0.3588
1106.11,0.3559
1111.55,0.3529
1116.99,0.3488
1122.43,0.3439
1127.87,0.3389
1133.32,0.3322
1138.76,0.3219
1144.2,0.3112
1149.64,0.3022
1155.08,0.2954
1160.52,0.2894
1165.96,0.2843
1171.4,0.2806
1176.84,0.2772
1182.28,0.2748
1187.72,0.2807
1193.16,0.2865
1198.6,0.3053
1204.04,0.294
1209.48,0.3018
1214.92,0.2982
1220.36,0.3079
1225.8,0.3163
1231.24,0.3192
1236.69,0.3229
1242.13,0.3335
1247.57,0.3382
1253.01,0.3446
1258.45,0.3549
1263.89,0.3595
1269.33,0.3476
1274.77,0.3282
1280.21,0.3428
1285.65,0.3427
1291.09,0.3461
1296.53,0.3484
1301.97,0.348
1307.41,0.3393
1312.85,0.3403
1318.29,0.3137
1323.73,0.3127
1329.17,0.356
1334.61,0.3375
1340.06,0.3242
1345.5,0.3111
1350.94,0.2938
1356.38,0.2766
1361.82,0.2606
1367.26,0.2464
1372.7,0.2326
1378.14,0.2147
1383.58,0.1944
1389.02,0.1751
1394.46,0.1568
1399.9,0.1393
1405.34,0.1257
1410.78,0.1134
1416.22,0.1018
1421.66,0.0938
1427.1,0.0866
1432.54,0.0804
1437.98,0.0762
1443.43,0.072
1448.87,0.0692
1454.31,0.0666
1459.75,0.064
1465.19,0.0626
1470.63,0.0605
1476.07,0.0576
1481.51,0.054
1486.95,0.0559
1492.39,0.0577
1497.83,0.0643
1503.27,0.0792
1508.71,0.0754
1514.15,0.0905
1519.59,0.0939
1525.03,0.1028
1530.47,0.1065
1535.91,0.1137
1541.35,0.12
1546.8,0.1245
1552.24,0.1274
1557.68,0.1332
1563.12,0.1375
1568.56,0.147
1574.0,0.1417
1579.44,0.1437
1584.88,0.1477
1590.32,0.1518
1595.76,0.1554
1601.2,0.162
1606.64,0.1627
1612.08,0.1679
1617.52,0.1639
1622.96,0.1692
1628.4,0.1762
1633.84,0.1775
1639.28,0.1803
1644.72,0.1788
1650.17,0.179
1655.61,0.179
1661.05,0.1813
1666.49,0.1788
1671.93,0.1792
1677.37,0.1821
1682.81,0.1785
1688.25,0.177
1693.69,0.1738
1699.13,0.1715
1704.57,0.1686
1710.01,0.1656
1715.45,0.1617
1720.89,0.1595
1726.33,0.1551
1731.77,0.1518
1737.21,0.1572
1742.65,0.1517
1748.09,0.1517
1753.54,0.1483
1758.98,0.1457
1764.42,0.1459
1769.86,0.1308
1775.3,0.1362
1780.74,0.1271
1786.18,0.1231
1791.62,0.119
1797.06,0.1149
1802.5,0.1094
1807.94,0.0898
1813.38,0.071
1818.82,0.053
1824.26,0.0358
1829.7,0.0317
1835.14,0.0297
1840.58,0.0278
1846.02,0.0259
1851.46,0.0243
1856.91,0.0233
1862.35,0.0223
1867.79,0.0213
1873.23,0.0204
1878.67,0.0193
1884.11,0.0182
1889.55,0.0172
1894.99,0.0162
1900.43,0.0153
1905.87,0.0151
1911.31,0.0148
1916.75,0.0145
1922.19,0.0144
1927.63,0.0145
1933.07,0.0145
1938.51,0.0144
1943.95,0.0143
1949.39,0.0142
1954.83,0.0147
1960.28,0.0151
1965.72,0.0153
1971.16,0.015
1976.6,0.0145
1982.04,0.0141
1987.48,0.0212
1992.92,0.0283
1998.36,0.0327
2003.8,0.0693
2009.24,0.0456
2014.68,0.0594
2020.12,0.043
2025.56,0.0426
2031.0,0.0404
2036.44,0.0412
2041.88,0.0439
2047.32,0.044
2052.76,0.0486
2058.2,0.047
2063.65,0.0482
2069.09,0.0495
2074.53,0.0556
2079.97,0.0518
2085.41,0.0523
2090.85,0.0545
2096.29,0.057
2101.73,0.0581
2107.17,0.0569
2112.61,0.0581
2118.05,0.0589
2123.49,0.0618
2128.93,0.0635
2134.37,0.0629
2139.81,0.0637
2145.25,0.0642
2150.69,0.0646
2156.13,0.0677
2161.57,0.067
2167.02,0.0716
2172.46,0.067
2177.9,0.0685
2183.34,0.0709
2188.78,0.0731
2194.22,0.07
2199.66,0.0724
2205.1,0.0742
2210.54,0.0766
2215.98,0.0782
2221.42,0.0764
2226.86,0.075
2232.3,0.0755
2237.74,0.0718
2243.18,0.068
2248.62,0.0576
2254.06,0.07
2259.5,0.0651
2264.94,0.0615
2270.39,0.0629
2275.83,0.0603
2281.27,0.0517
2286.71,0.0565
2292.15,0.0544
2297.59,0.0569
2303.03,0.0478
2308.47,0.0519
2313.91,0.0455
2319.35,0.0562
2324.79,0.0493
2330.23,0.0489
2335.67,0.0445
2341.11,0.0431
2346.55,0.0459
2351.99,0.0468
2357.43,0.0428
2362.87,0.0417
2368.32,0.0461
2373.76,0.0477
2379.2,0.0295
2384.64,0.0305
2390.08,0.0483
2395.52,0.0445
2400.96,0.0374
2406.4,0.0384
2411.84,0.0312
2417.28,0.064
2422.72,0.0524
2428.16,0.0323
2433.6,0.0711
2439.04,0.0418
2444.48,0.0598
2449.92,0.1577
2455.36,0.0646
2460.8,0.0375
2466.24,0.1174
2471.69,0.5723
2477.13,0.0616
2482.57,0.5843
2488.01,0.6473
2493.45,0.5783
2498.89,0.1711
