wavelength_nm,value
414.13,0.0143
417.32,0.017
420.52,0.0186
423.72,0.0201
426.91,0.0232
430.11,0.0241
433.31,0.0208
436.5,0.0205
439.7,0.0207
442.9,0.0229
446.09,0.022
449.29,0.0198
452.49,0.0214
455.68,0.0209
458.88,0.0231
462.08,0.0233
465.27,0.0216
468.47,0.0207
471.67,0.0234
474.86,0.0241
478.06,0.0229
481.26,0.0231
484.45,0.0244
487.65,0.0229
490.85,0.0242
494.04,0.0243
497.24,0.0241
500.43,0.0264
503.63,0.0265
506.83,0.0268
510.03,0.0304
513.22,0.0315
516.42,0.0379
519.61,0.0376
522.81,0.0423
526.01,0.0483
529.2,0.05
532.4,0.0556
535.6,0.0568
538.79,0.0624
541.99,0.062
545.19,0.0613
548.38,0.064
551.58,0.0639
554.78,0.0651
557.97,0.0671
561.17,0.064
564.37,0.0621
567.56,0.06
570.76,0.059
573.96,0.0534
577.15,0.052
580.35,0.0514
583.55,0.0504
586.74,0.0488
589.94,0.0496
593.14,0.0487
596.33,0.0463
599.53,0.0469
602.73,0.0458
605.92,0.0452
609.12,0.0448
612.32,0.044
615.51,0.0412
618.71,0.0422
621.91,0.0404
625.1,0.0415
628.3,0.043
631.5,0.0406
634.69,0.0402
637.89,0.0391
641.09,0.0388
644.28,0.0377
647.48,0.0368
650.67,0.0343
653.87,0.0333
657.07,0.0331
660.27,0.0304
663.46,0.0308
666.66,0.0314
669.85,0.0298
673.05,0.0301
676.25,0.0287
679.45,0.0295
682.64,0.0296
685.84,0.0338
689.03,0.0503
692.23,0.0667
695.43,0.0832
698.62,0.0996
701.82,0.1161
705.02,0.1325
708.21,0.1489
711.41,0.1654
714.61,0.1818
717.8,0.1983
721.0,0.2147
724.2,0.2312
727.39,0.2476
730.59,0.264
733.79,0.2805
736.98,0.2969
740.18,0.3134
743.38,0.3312
746.57,0.3486
749.77,0.3628
752.97,0.366
756.16,0.3692
759.36,0.3724
762.56,0.3755
765.75,0.3787
768.95,0.3819
772.15,0.3851
775.34,0.3903
778.54,0.3916
781.74,0.3919
784.93,0.3925
788.13,0.4009
791.33,0.4025
794.52,0.4042
797.72,0.4058
800.92,0.4075
804.11,0.4092
807.31,0.4108
810.51,0.4125
813.7,0.4141
816.9,0.4158
820.1,0.4175
823.29,0.4191
826.49,0.4208
829.68,0.4225
832.88,0.4241
836.08,0.4258
839.28,0.4274
842.47,0.4291
845.67,0.4255
848.86,0.4339
852.06,0.4275
855.26,0.4277
858.46,0.4109
861.65,0.4386
864.85,0.4399
868.04,0.435
871.24,0.4269
874.44,0.4281
877.63,0.439
880.83,0.4335
884.03,0.4414
887.22,0.4404
890.42,0.4497
893.62,0.4447
896.81,0.4455
900.01,0.4445
903.21,0.4439
906.4,0.4424
909.6,0.4412
912.8,0.4402
915.99,0.4387
919.19,0.4368
922.39,0.4346
925.58,0.4326
928.78,0.4308
931.98,0.4288
935.17,0.4253
938.37,0.4222
941.57,0.4193
944.76,0.4172
947.96,0.4144
951.16,0.4112
954.35,0.4083
957.55,0.406
960.75,0.404
963.94,0.402
967.14,0.4
970.1,0.3981
975.54,0.3966
980.98,0.3941
986.42,0.3926
991.86,0.391
997.3,0.3887
1002.74,0.3902
1008.18,0.4011
1013.62,0.4079
1019.06,0.4127
1024.5,0.4143
1029.95,0.4111
1035.39,0.4113
1040.83,0.4162
1046.27,0.4197
1051.71,0.4257
1057.15,0.43
1062.59,0.4285
1068.03,0.4296
1073.47,0.4215
1078.91,0.414
1084.35,0.4165
1089.79,0.4095
1095.23,0.4065
1100.67,0.4051
1106.11,0.4026
1111.55,0.4
1116.99,0.3962
1122.43,0.3915
1127.87,0.3865
1133.32,0.3797
1138.76,0.369
1144.2,0.3579
1149.64,0.3485
1155.08,0.3415
1160.52,0.3353
1165.96,0.3303
1171.4,0.3266
1176.84,0.3235
1182.28,0.3215
1187.72,0.3297
1193.16,0.3379
1198.6,0.3398
1204.04,0.3483
1209.48,0.3536
1214.92,0.3623
1220.36,0.3645
1225.8,0.3739
1231.24,0.3761
1236.69,0.3774
1242.13,0.379
1247.57,0.3806
1253.01,0.3783
1258.45,0.3723
1263.89,0.3747
1269.33,0.4051
1274.77,0.3909
1280.21,0.3859
1285.65,0.3787
1291.09,0.3697
1296.53,0.3618
1301.97,0.3508
1307.41,0.3311
1312.85,0.3273
1318.29,0.3139
1323.73,0.2889
1329.17,0.2627
1334.61,0.2506
1340.06,0.2427
1345.5,0.2348
1350.94,0.2238
1356.38,0.2127
1361.82,0.2024
1367.26,0.1933
1372.7,0.1843
1378.14,0.1722
1383.58,0.158
1389.02,0.1443
1394.46,0.1312
1399.9,0.1186
1405.34,0.1088
1410.78,0.1
1416.22,0.0915
1421.66,0.0861
1427.1,0.0812
1432.54,0.0772
1437.98,0.0751
1443.43,0.0728
1448.87,0.0721
1454.31,0.0719
1459.75,0.0718
1465.19,0.0733
1470.63,0.0744
1476.07,0.075
1481.51,0.0752
1486.95,0.0858
1492.39,0.0964
1497.83,0.1017
1503.27,0.1051
1508.71,0.1107
1514.15,0.1196
1519.59,0.1266
1525.03,0.1304
1530.47,0.1361
1535.91,0.1437
1541.35,0.1507
1546.8,0.1559
1552.24,0.1586
1557.68,0.167
1563.12,0.166
1568.56,0.176
1574.0,0.1753
1579.44,0.1784
1584.88,0.1812
1590.32,0.187
1595.76,0.1852
1601.2,0.1972
1606.64,0.2023
1612.08,0.2109
1617.52,0.2016
1622.96,0.2054
1628.4,0.2106
1633.84,0.2109
1639.28,0.2174
1644.72,0.2177
1650.17,0.2173
1655.61,0.2182
1661.05,0.2194
1666.49,0.2198
1671.93,0.2212
1677.37,0.2239
1682.81,0.2247
1688.25,0.2189
1693.69,0.2161
1699.13,0.212
1704.57,0.2101
1710.01,0.2081
1715.45,0.2072
1720.89,0.2004
1726.33,0.2003
1731.77,0.192
1737.21,0.1972
1742.65,0.1882
1748.09,0.1887
1753.54,0.1823
1758.98,0.1753
1764.42,0.172
1769.86,0.1608
1775.3,0.154
1780.74,0.1437
1786.18,0.1395
1791.62,0.1352
1797.06,0.1307
1802.5,0.1247
1807.94,0.1025
1813.38,0.0812
1818.82,0.0606
1824.26,0.0409
1829.7,0.0364
1835.14,0.0343
1840.58,0.0322
