wavelength_nm,value
414.13,0.0518
417.32,0.0548
420.52,0.0536
423.72,0.0563
426.91,0.0565
430.11,0.0632
433.31,0.0595
436.5,0.0599
439.7,0.0598
442.9,0.0665
446.09,0.0636
449.29,0.0603
452.49,0.0639
455.68,0.0622
458.88,0.0661
462.08,0.0688
465.27,0.0686
468.47,0.0648
471.67,0.0695
474.86,0.0723
478.06,0.0724
481.26,0.0777
484.45,0.0759
487.65,0.0751
490.85,0.0772
494.04,0.0747
497.24,0.0769
500.43,0.0823
503.63,0.0798
506.83,0.0823
510.03,0.082
513.22,0.0864
516.42,0.0904
519.61,0.0879
522.81,0.0861
526.01,0.0918
529.2,0.0898
532.4,0.0943
535.6,0.0984
538.79,0.0998
541.99,0.1022
545.19,0.0995
548.38,0.1033
551.58,0.1062
554.78,0.1065
557.97,0.1099
561.17,0.1108
564.37,0.1084
567.56,0.1114
570.76,0.1147
573.96,0.1133
577.15,0.112
580.35,0.112
583.55,0.1158
586.74,0.1183
589.94,0.1222
593.14,0.1179
596.33,0.1214
599.53,0.1219
602.73,0.1224
605.92,0.1249
609.12,0.1236
612.32,0.1231
615.51,0.1282
618.71,0.1265
621.91,0.1258
625.1,0.1309
628.3,0.1322
631.5,0.1275
634.69,0.1305
637.89,0.1338
641.09,0.134
644.28,0.1371
647.48,0.1407
650.67,0.1369
653.87,0.1374
657.07,0.1386
660.27,0.1294
663.46,0.1377
666.66,0.1403
669.85,0.1394
673.05,0.1416
676.25,0.1431
679.45,0.1437
682.64,0.1438
685.84,0.1594
689.03,0.1598
692.23,0.1602
695.43,0.1606
698.62,0.161
701.82,0.1614
705.02,0.1618
708.21,0.1622
711.41,0.1626
714.61,0.163
717.8,0.1634
721.0,0.1638
724.2,0.1642
727.39,0.1646
730.59,0.1649
733.79,0.1653
736.98,0.1657
740.18,0.1661
743.38,0.1684
746.57,0.1765
749.77,0.1761
752.97,0.1778
756.16,0.1795
759.36,0.1811
762.56,0.1828
765.75,0.1845
768.95,0.1862
772.15,0.1878
775.34,0.1841
778.54,0.1836
781.74,0.1873
784.93,0.1892
788.13,0.1855
791.33,0.1861
794.52,0.1867
797.72,0.1873
800.92,0.188
804.11,0.1886
807.31,0.1892
810.51,0.1898
813.7,0.1904
816.9,0.191
820.1,0.1916
823.29,0.1922
826.49,0.1928
829.68,0.1935
832.88,0.1941
836.08,0.1947
839.28,0.1953
842.47,0.1959
845.67,0.2027
848.86,0.202
852.06,0.1977
855.26,0.2026
858.46,0.1919
861.65,0.2065
864.85,0.2078
868.04,0.1941
871.24,0.1957
874.44,0.1992
877.63,0.1947
880.83,0.1992
884.03,0.1993
887.22,0.2005
890.42,0.2007
893.62,0.2054
896.81,0.2053
900.01,0.205
903.21,0.2046
906.4,0.2044
909.6,0.2041
912.8,0.2038
915.99,0.2036
919.19,0.2035
922.39,0.2034
925.58,0.2033
928.78,0.2031
931.98,0.203
935.17,0.2029
938.37,0.2029
941.57,0.2027
944.76,0.2026
947.96,0.2025
951.16,0.2026
954.35,0.2026
957.55,0.2025
960.75,0.2023
963.94,0.202
967.14,0.2018
970.1,0.2015
975.54,0.2012
980.98,0.2006
986.42,0.1999
991.86,0.1992
997.3,0.1988
1002.74,0.1987
1008.18,0.1983
1013.62,0.1997
1019.06,0.2064
1024.5,0.2073
1029.95,0.2041
1035.39,0.2005
1040.83,0.199
1046.27,0.2033
1051.71,0.2061
1057.15,0.2094
1062.59,0.2114
1068.03,0.2103
1073.47,0.2074
1078.91,0.2074
1084.35,0.2059
1089.79,0.2061
1095.23,0.2056
1100.67,0.2048
1106.11,0.2042
1111.55,0.2036
1116.99,0.2032
1122.43,0.2027
1127.87,0.2018
1133.32,0.2011
1138.76,0.2011
1144.2,0.2012
1149.64,0.201
1155.08,0.2002
1160.52,0.1992
1165.96,0.1986
1171.4,0.1977
1176.84,0.1968
1182.28,0.1962
1187.72,0.1979
1193.16,0.1995
1198.6,0.2131
1204.04,0.2048
1209.48,0.2103
1214.92,0.2075
1220.36,0.2135
1225.8,0.2137
