wavelength_nm,value
414.13,0.2922
417.32,0.3055
420.52,0.2989
423.72,0.304
426.91,0.307
430.11,0.3316
433.31,0.3023
436.5,0.3116
439.7,0.3131
442.9,0.3101
446.09,0.3022
449.29,0.2945
452.49,0.2989
455.68,0.2978
458.88,0.3067
462.08,0.3011
465.27,0.297
468.47,0.2866
471.67,0.2916
474.86,0.2939
478.06,0.301
481.26,0.3086
484.45,0.3145
487.65,0.3045
490.85,0.2975
494.04,0.29
497.24,0.3032
500.43,0.3136
503.63,0.2945
506.83,0.3039
510.03,0.2958
513.22,0.3078
516.42,0.3189
519.61,0.2979
522.81,0.2939
526.01,0.2995
529.2,0.2923
532.4,0.3073
535.6,0.3041
538.79,0.3105
541.99,0.3087
545.19,0.3068
548.38,0.3062
551.58,0.3054
554.78,0.3068
557.97,0.3166
561.17,0.3051
564.37,0.3077
567.56,0.3051
570.76,0.3087
573.96,0.306
577.15,0.3015
580.35,0.2987
583.55,0.3031
586.74,0.3062
589.94,0.3095
593.14,0.3055
596.33,0.3079
599.53,0.3027
602.73,0.3086
605.92,0.3094
609.12,0.3104
612.32,0.307
615.51,0.3072
618.71,0.3037
621.91,0.3098
625.1,0.3089
628.3,0.3077
631.5,0.3024
634.69,0.3066
637.89,0.3045
641.09,0.3135
644.28,0.3144
647.48,0.3151
650.67,0.3038
653.87,0.3095
657.07,0.3082
660.27,0.2958
663.46,0.3035
666.66,0.3067
669.85,0.3067
673.05,0.3119
676.25,0.3059
679.45,0.3031
682.64,0.3062
685.84,0.3324
689.03,0.3302
692.23,0.328
695.43,0.3259
698.62,0.3237
701.82,0.3215
705.02,0.3193
708.21,0.3172
711.41,0.315
714.61,0.3128
717.8,0.3106
721.0,0.3085
724.2,0.3063
727.39,0.3041
730.59,0.3019
733.79,0.2997
736.98,0.2976
740.18,0.2954
743.38,0.2946
746.57,0.3007
749.77,0.3031
752.97,0.3029
756.16,0.3027
759.36,0.3025
762.56,0.3023
765.75,0.3021
768.95,0.3019
772.15,0.3017
775.34,0.303
778.54,0.309
781.74,0.2949
784.93,0.306
788.13,0.3036
791.33,0.3031
794.52,0.3027
797.72,0.3022
800.92,0.3017
804.11,0.3013
807.31,0.3008
810.51,0.3004
813.7,0.2999
816.9,0.2994
820.1,0.299
823.29,0.2985
826.49,0.2981
829.68,0.2976
832.88,0.2971
836.08,0.2967
839.28,0.2962
842.47,0.2958
845.67,0.2963
848.86,0.3034
852.06,0.301
855.26,0.3012
858.46,0.289
861.65,0.2999
864.85,0.3068
868.04,0.3043
871.24,0.2894
874.44,0.303
877.63,0.299
880.83,0.3098
884.03,0.3032
887.22,0.309
890.42,0.301
893.62,0.3093
896.81,0.3091
900.01,0.3087
903.21,0.3082
906.4,0.3079
909.6,0.3076
912.8,0.3072
915.99,0.3069
919.19,0.3068
922.39,0.3068
925.58,0.3067
928.78,0.3066
931.98,0.3065
935.17,0.3066
938.37,0.3066
941.57,0.3065
944.76,0.3064
947.96,0.3065
951.16,0.3067
954.35,0.3069
957.55,0.3068
960.75,0.3065
963.94,0.3063
967.14,0.306
970.1,0.3056
975.54,0.3052
980.98,0.3045
986.42,0.3035
991.86,0.3025
997.3,0.302
1002.74,0.3019
1008.18,0.2981
1013.62,0.3028
1019.06,0.3097
1024.5,0.3077
1029.95,0.3052
1035.39,0.3019
1040.83,0.2993
1046.27,0.3037
1051.71,0.3092
1057.15,0.3155
1062.59,0.3145
1068.03,0.3154
1073.47,0.3078
1078.91,0.3082
1084.35,0.3053
1089.79,0.3055
1095.23,0.3044
1100.67,0.3028
1106.11,0.3016
1111.55,0.3003
1116.99,0.2995
1122.43,0.2984
1127.87,0.2968
1133.32,0.2955
1138.76,0.2954
1144.2,0.2956
1149.64,0.2952
1155.08,0.2937
1160.52,0.2921
1165.96,0.2908
1171.4,0.2893
1176.84,0.2876
1182.28,0.2863
1187.72,0.2881
1193.16,0.29
1198.6,0.3092
1204.04,0.2955
1209.48,0.301
1214.92,0.2987
1220.36,0.3049
1225.8,0.3095
1231.24,0.3089
1236.69,0.3121
1242.13,0.3159
1247.57,0.317
1253.01,0.3239
1258.45,0.3315
1263.89,0.3314
1269.33,0.3205
1274.77,0.3012
1280.21,0.3172
1285.65,0.3174
1291.09,0.3203
1296.53,0.325
1301.97,0.3273
1307.41,0.3238
1312.85,0.3283
1318.29,0.3051
1323.73,0.3128
1329.17,0.3778
1334.61,0.3719
1340.06,0.3653
1345.5,0.3581
1350.94,0.3505
1356.38,0.3427
1361.82,0.3351
1367.26,0.3276
1372.7,0.3206
1378.14,0.314
1383.58,0.3078
1389.02,0.3021
1394.46,0.2966
1399.9,0.2912
1405.34,0.286
1410.78,0.2808
1416.22,0.2756
1421.66,0.2704
1427.1,0.2653
1432.54,0.2603
1437.98,0.2556
1443.43,0.2511
1448.87,0.2469
1454.31,0.2429
1459.75,0.2392
1465.19,0.2354
1470.63,0.2316
1476.07,0.2276
1481.51,0.2233
1486.95,0.2183
1492.39,0.2133
1497.83,0.2212
1503.27,0.2491
1508.71,0.2408
1514.15,0.2707
1519.59,0.2756
1525.03,0.2854
1530.47,0.287
1535.91,0.2987
1541.35,0.3027
1546.8,0.3054
1552.24,0.3051
1557.68,0.3096
1563.12,0.305
1568.56,0.3158
1574.0,0.3041
1579.44,0.2947
1584.88,0.2988
1590.32,0.3009
1595.76,0.2962
1601.2,0.3045
1606.64,0.3009
1612.08,0.3059
1617.52,0.2939
1622.96,0.2994
1628.4,0.3048
1633.84,0.3029
1639.28,0.3064
1644.72,0.3014
1650.17,0.3007
1655.61,0.2972
1661.05,0.3047
1666.49,0.3005
1671.93,0.3004
1677.37,0.3074
1682.81,0.3083
1688.25,0.3043
1693.69,0.3007
1699.13,0.3016
1704.57,0.3002
1710.01,0.2987
1715.45,0.2985
1720.89,0.3008
1726.33,0.2954
1731.77,0.2942
1737.21,0.3027
1742.65,0.2913
1748.09,0.2981
1753.54,0.2971
1758.98,0.2902
1764.42,0.2987
1769.86,0.2722
1775.3,0.2821
1780.74,0.281
1786.18,0.2796
1791.62,0.2779
1797.06,0.2759
1802.5,0.2737
1807.94,0.2715
1813.38,0.2692
1818.82,0.2669
1824.26,0.2647
1829.7,0.2627
1835.14,0.2608
1840.58,0.2591
1846.02,0.2576
1851.46,0.2563
1856.91,0.2552
1862.35,0.2541
1867.79,0.2532
1873.23,0.2523
1878.67,0.2514
1884.11,0.2505
1889.55,0.2496
1894.99,0.2488
1900.43,0.2479
1905.87,0.2471
1911.31,0.2464
1916.75,0.2458
1922.19,0.2453
1927.63,0.245
1933.07,0.2449
1938.51,0.2449
1943.95,0.2451
1949.39,0.2454
1954.83,0.2458
1960.28,0.2462
1965.72,0.2465
1971.16,0.2467
1976.6,0.2467
1982.04,0.2465
1987.48,0.2459
1992.92,0.2453
1998.36,0.2142
2003.8,0.3131
2009.24,0.2434
2014.68,0.2868
2020.12,0.3016
2025.56,0.2912
2031.0,0.2896
2036.44,0.2823
2041.88,0.2842
2047.32,0.2647
2052.76,0.2821
2058.2,0.2776
2063.65,0.2887
2069.09,0.2951
2074.53,0.2993
2079.97,0.2884
