wavelength_nm,reflectance
414.13,0.0156
417.32,0.0161
420.52,0.0174
423.72,0.0166
426.91,0.0182
430.11,0.0201
433.31,0.0159
436.5,0.0178
439.7,0.0179
442.9,0.0176
446.09,0.0182
449.29,0.0168
452.49,0.0178
455.68,0.0171
458.88,0.0181
462.08,0.0176
465.27,0.0175
468.47,0.0169
471.67,0.0167
474.86,0.0171
478.06,0.0183
481.26,0.0188
484.45,0.019
487.65,0.0191
490.85,0.0173
494.04,0.0177
497.24,0.0193
500.43,0.0203
503.63,0.0189
506.83,0.0198
510.03,0.0208
513.22,0.0223
516.42,0.0247
519.61,0.0248
522.81,0.0253
526.01,0.0298
529.2,0.0303
532.4,0.0331
535.6,0.0359
538.79,0.0383
541.99,0.0375
545.19,0.0382
548.38,0.0386
551.58,0.0392
554.78,0.0398
557.97,0.0422
561.17,0.0385
564.37,0.0371
567.56,0.0361
570.76,0.0345
573.96,0.032
577.15,0.0309
580.35,0.0291
583.55,0.0287
586.74,0.0288
589.94,0.0293
593.14,0.0275
596.33,0.0272
599.53,0.0258
602.73,0.0269
605.92,0.0266
609.12,0.0262
612.32,0.0247
615.51,0.0247
618.71,0.0235
621.91,0.024
625.1,0.0239
628.3,0.0233
631.5,0.023
634.69,0.0236
637.89,0.0231
641.09,0.0231
644.28,0.0221
647.48,0.0231
650.67,0.0207
653.87,0.0209
657.07,0.0208
660.27,0.0191
663.46,0.0198
666.66,0.0188
669.85,0.0187
673.05,0.0189
676.25,0.019
679.45,0.019
682.64,0.019
685.84,0.0214
689.03,0.0385
692.23,0.0555
695.43,0.0726
698.62,0.0896
701.82,0.1065
705.02,0.1229
708.21,0.1393
711.41,0.1557
714.61,0.1721
717.8,0.1886
721.0,0.205
724.2,0.2214
727.39,0.2378
730.59,0.2542
733.79,0.2706
736.98,0.287
740.18,0.3035
743.38,0.3305
746.57,0.362
749.77,0.3836
752.97,0.3919
756.16,0.4002
759.36,0.4085
762.56,0.4168
765.75,0.4251
768.95,0.4334
772.15,0.4421
775.34,0.4516
778.54,0.4569
781.74,0.454
784.93,0.4615
788.13,0.4631
791.33,0.4653
794.52,0.4675
797.72,0.4696
800.92,0.4718
804.11,0.474
807.31,0.4761
810.51,0.4783
813.7,0.4805
816.9,0.4816
820.1,0.4827
823.29,0.4837
826.49,0.4847
829.68,0.4858
832.88,0.4868
836.08,0.4879
839.28,0.4903
842.47,0.4933
845.67,0.4989
848.86,0.5099
852.06,0.5042
855.26,0.5046
858.46,0.4926
861.65,0.5007
864.85,0.5313
868.04,0.508
871.24,0.4972
874.44,0.5023
877.63,0.4965
880.83,0.5091
884.03,0.5188
887.22,0.5205
890.42,0.516
893.62,0.5344
896.81,0.5356
900.01,0.5304
903.21,0.5277
906.4,0.5239
909.6,0.5204
912.8,0.5202
915.99,0.5208
919.19,0.5206
922.39,0.52
925.58,0.517
928.78,0.514
931.98,0.5109
935.17,0.5056
938.37,0.5018
941.57,0.4989
944.76,0.4932
947.96,0.4865
951.16,0.4793
954.35,0.4748
957.55,0.4685
960.75,0.4622
963.94,0.4584
967.14,0.4554
970.1,0.4525
975.54,0.4502
980.98,0.4463
986.42,0.4436
991.86,0.4409
997.3,0.437
1002.74,0.4372
1008.18,0.4386
1013.62,0.4485
1019.06,0.4581
1024.5,0.4625
1029.95,0.4586
1035.39,0.4564
1040.83,0.4569
