wavelength_nm,reflectance
414.13,0.1716
417.32,0.1797
420.52,0.1762
423.72,0.1789
426.91,0.1965
430.11,0.2005
433.31,0.1813
436.5,0.1995
439.7,0.208
442.9,0.2013
446.09,0.2081
449.29,0.2022
452.49,0.2072
455.68,0.1997
458.88,0.2129
462.08,0.2033
465.27,0.2016
468.47,0.2008
471.67,0.2052
474.86,0.2115
478.06,0.2222
481.26,0.2274
484.45,0.2286
487.65,0.2254
490.85,0.228
494.04,0.2429
497.24,0.2547
500.43,0.266
503.63,0.2594
506.83,0.2618
510.03,0.2696
513.22,0.2759
516.42,0.2848
519.61,0.2774
522.81,0.28
526.01,0.2983
529.2,0.2968
532.4,0.314
535.6,0.3151
538.79,0.3273
541.99,0.3229
545.19,0.3174
548.38,0.3216
551.58,0.3201
554.78,0.3188
557.97,0.3301
561.17,0.3163
564.37,0.3156
567.56,0.3224
570.76,0.3224
573.96,0.3152
577.15,0.3152
580.35,0.3163
583.55,0.3225
586.74,0.3275
589.94,0.3303
593.14,0.321
596.33,0.3193
599.53,0.3211
602.73,0.3254
605.92,0.3297
609.12,0.3272
612.32,0.3219
615.51,0.3269
618.71,0.3208
621.91,0.3239
625.1,0.3304
628.3,0.3297
631.5,0.3271
634.69,0.327
637.89,0.3283
641.09,0.3358
644.28,0.3359
647.48,0.3482
650.67,0.3348
653.87,0.3355
657.07,0.3339
660.27,0.3166
663.46,0.3324
666.66,0.3319
669.85,0.3354
673.05,0.336
676.25,0.3359
679.45,0.3312
682.64,0.329
685.84,0.2175
689.03,0.2159
692.23,0.2144
695.43,0.2128
698.62,0.2113
701.82,0.2097
705.02,0.2082
708.21,0.2066
711.41,0.2099
714.61,0.209
717.8,0.208
721.0,0.2071
724.2,0.2061
727.39,0.2052
730.59,0.2042
733.79,0.2033
736.98,0.2023
740.18,0.2014
743.38,0.3088
746.57,0.3148
749.77,0.2082
752.97,0.2118
756.16,0.2139
759.36,0.2167
762.56,0.2196
765.75,0.2224
768.95,0.2253
772.15,0.2281
775.34,0.3257
778.54,0.3257
781.74,0.3199
784.93,0.313
788.13,0.2388
791.33,0.2397
794.52,0.2406
797.72,0.2415
800.92,0.2424
804.11,0.2433
807.31,0.2442
810.51,0.2451
813.7,0.246
816.9,0.2469
820.1,0.2478
823.29,0.2488
826.49,0.2497
829.68,0.2506
832.88,0.2515
836.08,0.2524
839.28,0.2533
842.47,0.2542
845.67,0.2863
848.86,0.2929
852.06,0.2848
855.26,0.2829
858.46,0.2686
861.65,0.2847
864.85,0.2888
868.04,0.2748
871.24,0.2738
874.44,0.2731
877.63,0.2823
880.83,0.2798
884.03,0.2833
887.22,0.2838
890.42,0.2846
893.62,0.2942
896.81,0.2708
900.01,0.2706
903.21,0.2704
906.4,0.2704
909.6,0.2703
912.8,0.2702
915.99,0.2702
919.19,0.2703
922.39,0.2704
925.58,0.2705
928.78,0.2773
931.98,0.2795
935.17,0.2737
938.37,0.2733
941.57,0.2733
944.76,0.2713
947.96,0.2715
951.16,0.2675
954.35,0.2613
957.55,0.2549
960.75,0.2513
963.94,0.2471
967.14,0.239
970.1,0.2308
975.54,0.2272
980.98,0.2253
986.42,0.2243
991.86,0.2273
997.3,0.2307
1002.74,0.2343
1008.18,0.2185
1013.62,0.2228
1019.06,0.2291
1024.5,0.2286
1029.95,0.2303
1035.39,0.2293
1040.83,0.2324
1046.27,0.2397
1051.71,0.2462
1057.15,0.2594
1062.59,0.2649
1068.03,0.2678
1073.47,0.2709
1078.91,0.28
1084.35,0.2549
1089.79,0.2534
1095.23,0.2508
1100.67,0.2476
1106.11,0.2446
1111.55,0.2418
1116.99,0.2392
1122.43,0.2365
1127.87,0.2333
1133.32,0.2304
1138.76,0.2302
1144.2,0.2358
1149.64,0.2411
1155.08,0.2455
1160.52,0.2466
1165.96,0.246
1171.4,0.2451
1176.84,0.2442
1182.28,0.2436
1187.72,0.2457
1193.16,0.2478
1198.6,0.348
1204.04,0.335
1209.48,0.3446
1214.92,0.3416
1220.36,0.349
1225.8,0.3516
1231.24,0.3582
1236.69,0.3767
1242.13,0.3876
1247.57,0.3925
1253.01,0.3961
1258.45,0.404
1263.89,0.4053
1269.33,0.3973
1274.77,0.3797
1280.21,0.3923
1285.65,0.3861
1291.09,0.3929
1296.53,0.3958
1301.97,0.3984
1307.41,0.3902
1312.85,0.3972
1318.29,0.3721
1323.73,0.3783
1329.17,0.4421
1334.61,0.3667
1340.06,0.3594
1345.5,0.3516
1350.94,0.3434
1356.38,0.3351
1361.82,0.3269
1367.26,0.3189
1372.7,0.3113
1378.14,0.3041
1383.58,0.2974
1389.02,0.291
1394.46,0.2849
1399.9,0.279
1405.34,0.2731
1410.78,0.2673
1416.22,0.2615
1421.66,0.2557
1427.1,0.25
1432.54,0.2444
1437.98,0.239
1443.43,0.2341
1448.87,0.2305
1454.31,0.2272
1459.75,0.224
1465.19,0.2209
1470.63,0.2177
1476.07,0.2143
1481.51,0.2106
1486.95,0.2062
1492.39,0.2019
1497.83,0.277
1503.27,0.3103
1508.71,0.2978
1514.15,0.3355
1519.59,0.3374
1525.03,0.3509
1530.47,0.3491
1535.91,0.3651
1541.35,0.3691
1546.8,0.3737
1552.24,0.3683
1557.68,0.3688
1563.12,0.3627
1568.56,0.3799
1574.0,0.3654
1579.44,0.3573
1584.88,0.3598
1590.32,0.3633
1595.76,0.362
1601.2,0.3713
1606.64,0.3618
1612.08,0.3641
1617.52,0.3547
1622.96,0.3591
1628.4,0.3629
1633.84,0.3568
1639.28,0.3569
1644.72,0.3488
1650.17,0.3462
1655.61,0.3367
1661.05,0.3332
1666.49,0.3262
1671.93,0.3184
1677.37,0.3286
1682.81,0.3361
1688.25,0.3299
1693.69,0.3348
1699.13,0.3408
1704.57,0.31
1710.01,0.2792
1715.45,0.2581
1720.89,0.2454
1726.33,0.2282
1731.77,0.2282
1737.21,0.273
1742.65,0.2909
1748.09,0.2958
1753.54,0.2847
1758.98,0.2694
1764.42,0.2748
1769.86,0.2624
1775.3,0.2867
1780.74,0.2698
1786.18,0.2688
1791.62,0.2675
1797.06,0.266
1802.5,0.2744
1807.94,0.2726
1813.38,0.2708
1818.82,0.269
1824.26,0.2673
1829.7,0.2657
1835.14,0.2643
1840.58,0.2632
1846.02,0.2621
1851.46,0.2613
1856.91,0.2606
1862.35,0.2601
1867.79,0.2595
1873.23,0.2589
1878.67,0.2583
1884.11,0.2578
1889.55,0.2572
1894.99,0.2566
1900.43,0.2561
1905.87,0.2556
1911.31,0.2552
1916.75,0.255
1922.19,0.2548
1927.63,0.2549
1933.07,0.2551
1938.51,0.2555
1943.95,0.256
1949.39,0.2567
1954.83,0.2574
1960.28,0.2582
1965.72,0.2589
1971.16,0.2595
1976.6,0.2599
1982.04,0.2601
1987.48,0.2598
1992.92,0.2595
1998.36,0.2399
2003.8,0.376
2009.24,0.2955
2014.68,0.3649
2020.12,0.3641
2025.56,0.342
2031.0,0.3464
2036.44,0.333
2041.88,0.3415
2047.32,0.3185
2052.76,0.3358
2058.2,0.329
2063.65,0.3402
2069.09,0.3475
2074.53,0.3615
2079.97,0.346
2085.41,0.3497
2090.85,0.3468
2096.29,0.3443
2101.73,0.3513
2107.17,0.3426
2112.61,0.3417
2118.05,0.3264
2123.49,0.3122
2128.93,0.3257
2134.37,0.3104
2139.81,0.3075
2145.25,0.3021
2150.69,0.3094
2156.13,0.31
2161.57,0.3106
2167.02,0.3361
2172.46,0.3324
2177.9,0.3106
2183.34,0.3073
2188.78,0.3336
2194.22,0.3118
2199.66,0.3246
2205.1,0.3245
2210.54,0.3071
2215.98,0.3058
2221.42,0.2915
2226.86,0.2876
2232.3,0.2757
2237.74,0.2627
2243.18,0.2468
2248.62,0.2275
2254.06,0.2198
2259.5,0.2135
2264.94,0.2072
2270.39,0.2066
2275.83,0.1918
2281.27,0.1846
2286.71,0.1842
2292.15,0.1731
2297.59,0.17
2303.03,0.1592
2308.47,0.1579
2313.91,0.1477
2319.35,0.1894
2324.79,0.1883
2330.23,0.1743
2335.67,0.155
2341.11,0.1601
2346.55,0.1434
2351.99,0.1841
2357.43,0.1821
2362.87,0.1461
2368.32,0.1636
2373.76,0.1669
2379.2,0.1539
2384.64,0.1836
2390.08,0.1823
2395.52,0.1657
2400.96,0.1516
2406.4,0.1658
2411.84,0.1444
2417.28,0.2316
2422.72,0.1981
2428.16,0.163
2433.6,0.2017
2439.04,0.1621
2444.48,0.1365
2449.92,0.2965
2455.36,0.214
2460.8,0.1725
2466.24,0.1835
2471.69,0.2254
2477.13,0.1344
2482.57,0.3245
2488.01,0.4742
2493.45,1.0074
2498.89,0.2629
