wavelength_nm,value
414.13,0.0157
417.32,0.0126
420.52,0.0166
423.72,0.0148
426.91,0.0174
430.11,0.0215
433.31,0.0181
436.5,0.0175
439.7,0.0181
442.9,0.0181
446.09,0.0168
449.29,0.016
452.49,0.0169
455.68,0.0168
458.88,0.0191
462.08,0.0166
465.27,0.0157
468.47,0.0166
471.67,0.0167
474.86,0.0162
478.06,0.0163
481.26,0.0185
484.45,0.0177
487.65,0.0176
490.85,0.0183
494.04,0.0182
497.24,0.0185
500.43,0.0195
503.63,0.019
506.83,0.0199
510.03,0.0189
513.22,0.021
516.42,0.023
519.61,0.0208
522.81,0.0216
526.01,0.0229
529.2,0.0214
532.4,0.0239
535.6,0.0233
538.79,0.0248
541.99,0.0246
545.19,0.026
548.38,0.0262
551.58,0.0254
554.78,0.0275
557.97,0.0272
561.17,0.0262
564.37,0.0267
567.56,0.0257
570.76,0.0273
573.96,0.0265
577.15,0.0274
580.35,0.0272
583.55,0.0263
586.74,0.0261
589.94,0.0257
593.14,0.0261
596.33,0.0248
599.53,0.024
602.73,0.025
605.92,0.0229
609.12,0.023
612.32,0.0226
615.51,0.0229
618.71,0.0231
621.91,0.0223
625.1,0.0219
628.3,0.0222
631.5,0.0209
634.69,0.021
637.89,0.0223
641.09,0.0221
644.28,0.0218
647.48,0.0227
650.67,0.0212
653.87,0.0208
657.07,0.0202
660.27,0.0184
663.46,0.0188
666.66,0.019
669.85,0.0183
673.05,0.0179
676.25,0.018
679.45,0.0194
682.64,0.0197
685.84,0.0218
689.03,0.0217
692.23,0.0216
695.43,0.0215
698.62,0.0214
701.82,0.0213
705.02,0.0212
708.21,0.0211
711.41,0.021
714.61,0.0208
717.8,0.0207
721.0,0.0206
724.2,0.0205
727.39,0.0204
730.59,0.0203
733.79,0.0202
736.98,0.0201
740.18,0.02
743.38,0.0193
746.57,0.0204
749.77,0.0201
752.97,0.0202
756.16,0.0203
759.36,0.0205
762.56,0.0206
765.75,0.0207
768.95,0.0208
772.15,0.0209
775.34,0.02
778.54,0.0221
781.74,0.0214
784.93,0.021
788.13,0.0215
791.33,0.0214
794.52,0.0213
797.72,0.0212
800.92,0.0211
804.11,0.021
807.31,0.0209
810.51,0.0207
813.7,0.0206
816.9,0.0205
820.1,0.0204
823.29,0.0203
826.49,0.0202
829.68,0.0201
832.88,0.02
836.08,0.0199
839.28,0.0198
842.47,0.0197
845.67,0.0196
848.86,0.0203
852.06,0.0184
855.26,0.0206
858.46,0.0195
861.65,0.0207
864.85,0.0206
868.04,0.0189
871.24,0.0186
874.44,0.0188
877.63,0.0209
880.83,0.021
884.03,0.0197
887.22,0.0199
890.42,0.022
893.62,0.0173
896.81,0.0173
900.01,0.0173
903.21,0.0172
906.4,0.0172
909.6,0.0171
912.8,0.0171
915.99,0.017
919.19,0.017
922.39,0.0169
925.58,0.0169
928.78,0.0168
931.98,0.0168
935.17,0.0167
938.37,0.0167
941.57,0.0166
944.76,0.0166
947.96,0.0165
951.16,0.0165
954.35,0.0164
957.55,0.0164
960.75,0.0163
963.94,0.0163
967.14,0.0162
970.1,0.0162
975.54,0.0161
980.98,0.016
986.42,0.016
991.86,0.0159
997.3,0.0158
1002.74,0.0157
1008.18,0.0156
1013.62,0.0149
1019.06,0.0168
1024.5,0.0147
1029.95,0.0139
1035.39,0.0161
1040.83,0.016
1046.27,0.0154
1051.71,0.0153
1057.15,0.0164
1062.59,0.0161
1068.03,0.0158
1073.47,0.0155
1078.91,0.0154
1084.35,0.0154
1089.79,0.0153
1095.23,0.0153
1100.67,0.0152
1106.11,0.0152
1111.55,0.0151
1116.99,0.015
1122.43,0.015
1127.87,0.0149
1133.32,0.0149
1138.76,0.0148
1144.2,0.0148
1149.64,0.0147
1155.08,0.0147
1160.52,0.0146
1165.96,0.0146
1171.4,0.0145
1176.84,0.0145
1182.28,0.0144
1187.72,0.0144
1193.16,0.0143
1198.6,0.0165
1204.04,0.0155
1209.48,0.0156
1214.92,0.0157
1220.36,0.0159
1225.8,0.016
1231.24,0.0151
1236.69,0.0166
1242.13,0.0167
1247.57,0.0158
1253.01,0.0169
1258.45,0.0178
1263.89,0.0178
1269.33,0.0177
1274.77,0.016
1280.21,0.0167
1285.65,0.016
1291.09,0.0164
1296.53,0.0166
1301.97,0.0166
1307.41,0.0177
1312.85,0.0173
1318.29,0.016
1323.73,0.0166
1329.17,0.0204
1334.61,0.02
1340.06,0.0194
1345.5,0.0189
1350.94,0.0183
1356.38,0.0177
1361.82,0.0172
1367.26,0.0166
1372.7,0.0161
1378.14,0.0156
1383.58,0.0151
1389.02,0.0146
1394.46,0.0142
1399.9,0.0137
1405.34,0.0133
1410.78,0.0129
1416.22,0.0124
1421.66,0.012
1427.1,0.0116
1432.54,0.0111
1437.98,0.0107
1443.43,0.0103
1448.87,0.0099
1454.31,0.0095
1459.75,0.0092
1465.19,0.0088
1470.63,0.0084
1476.07,0.008
1481.51,0.0076
1486.95,0.0071
1492.39,0.0067
1497.83,0.006
1503.27,0.0059
1508.71,0.0055
1514.15,0.006
1519.59,0.0064
1525.03,0.0069
1530.47,0.0073
1535.91,0.007
1541.35,0.0072
1546.8,0.008
1552.24,0.0078
1557.68,0.0077
1563.12,0.0079
1568.56,0.0079
1574.0,0.0079
1579.44,0.0085
1584.88,0.0077
1590.32,0.0074
1595.76,0.0086
1601.2,0.008
1606.64,0.0081
1612.08,0.0085
1617.52,0.0085
1622.96,0.0084
1628.4,0.0075
1633.84,0.0075
1639.28,0.0095
1644.72,0.0084
1650.17,0.0084
1655.61,0.0089
1661.05,0.0094
1666.49,0.0087
1671.93,0.009
1677.37,0.0092
1682.81,0.0082
1688.25,0.0086
1693.69,0.0086
1699.13,0.0083
1704.57,0.0081
1710.01,0.0084
1715.45,0.008
1720.89,0.0081
1726.33,0.0079
1731.77,0.0083
1737.21,0.0083
1742.65,0.0077
1748.09,0.008
1753.54,0.0093
1758.98,0.0067
1764.42,0.0077
1769.86,0.0064
1775.3,0.0092
1780.74,0.009
1786.18,0.0088
1791.62,0.0086
1797.06,0.0084
1802.5,0.0083
1807.94,0.0081
1813.38,0.0079
1818.82,0.0077
1824.26,0.0075
1829.7,0.0073
1835.14,0.0071
1840.58,0.007
1846.02,0.0068
1851.46,0.0066
1856.91,0.0064
1862.35,0.0062
1867.79,0.0061
1873.23,0.0059
1878.67,0.0057
1884.11,0.0055
1889.55,0.0054
1894.99,0.0052
1900.43,0.005
1905.87,0.0048
1911.31,0.0046
1916.75,0.0045
1922.19,0.0043
1927.63,0.0041
1933.07,0.0039
1938.51,0.0038
1943.95,0.0036
1949.39,0.0034
1954.83,0.0032
1960.28,0.0031
1965.72,0.0029
1971.16,0.0027
1976.6,0.0025
1982.04,0.0024
1987.48,0.0022
1992.92,0.002
1998.36,0.0004
2003.8,0.0007
2009.24,0.0
2014.68,0.0034
2020.12,0.0036
2025.56,0.0042
2031.0,0.0042
2036.44,0.0033
2041.88,0.0051
2047.32,0.0032
2052.76,0.0023
2058.2,0.0038
2063.65,0.0
2069.09,0.0019
2074.53,0.003
2079.97,0.0028
2085.41,0.0055
2090.85,0.0035
2096.29,0.0023
2101.73,0.0046
2107.17,0.0051
2112.61,0.0044
2118.05,0.0047
2123.49,0.0044
2128.93,0.0041
2134.37,0.0046
2139.81,0.0053
2145.25,0.0036
2150.69,0.0028
2156.13,0.0044
2161.57,0.0047
2167.02,0.0055
2172.46,0.0038
2177.9,0.0034
2183.34,0.0048
2188.78,0.0028
2194.22,0.0054
2199.66,0.0025
2205.1,0.0057
2210.54,0.0028
2215.98,0.0032
2221.42,0.0034
2226.86,0.0043
2232.3,0.005
2237.74,0.0026
2243.18,0.0029
2248.62,0.006
2254.06,0.0044
2259.5,0.0022
2264.94,0.0038
2270.39,0.0581
2275.83,0.0017
2281.27,0.0035
2286.71,0.0046
2292.15,0.0013
2297.59,0.0043
2303.03,0.001
2308.47,0.0021
2313.91,0.0053
2319.35,0.0018
2324.79,0.0022
2330.23,0.0037
2335.67,0.0034
2341.11,0.0062
2346.55,0.0
2351.99,0.005
2357.43,0.0023
2362.87,0.0035
2368.32,0.0019
2373.76,0.0019
2379.2,0.003
2384.64,0.0003
2390.08,0.0032
2395.52,0.0003
2400.96,0.0035
2406.4,0.0332
2411.84,0.0285
2417.28,0.0434
2422.72,0.0373
2428.16,0.0299
2433.6,0.0379
2439.04,0.0293
2444.48,0.0214
2449.92,0.0013
2455.36,0.0041
2460.8,0.0018
2466.24,0.0004
2471.69,0.0087
2477.13,0.0
2482.57,0.0252
2488.01,0.1345
2493.45,0.2546
2498.89,0.0752
