wavelength_nm,value
414.13,0.011
417.32,0.0101
420.52,0.0123
423.72,0.0119
426.91,0.0117
430.11,0.0176
433.31,0.0136
436.5,0.0131
439.7,0.0127
442.9,0.0133
446.09,0.0141
449.29,0.0123
452.49,0.0132
455.68,0.0126
458.88,0.014
462.08,0.0122
465.27,0.0131
468.47,0.0125
471.67,0.0135
474.86,0.0129
478.06,0.0139
481.26,0.0135
484.45,0.0141
487.65,0.0144
490.85,0.0118
494.04,0.0125
497.24,0.0147
500.43,0.0143
503.63,0.0149
506.83,0.0148
510.03,0.0142
513.22,0.016
516.42,0.0172
519.61,0.0181
522.81,0.0177
526.01,0.0225
529.2,0.0197
532.4,0.0231
535.6,0.0243
538.79,0.0236
541.99,0.0246
545.19,0.0239
548.38,0.026
551.58,0.0273
554.78,0.0264
557.97,0.0262
561.17,0.0259
564.37,0.0254
567.56,0.0246
570.76,0.0234
573.96,0.022
577.15,0.0221
580.35,0.0219
583.55,0.0213
586.74,0.0212
589.94,0.0197
593.14,0.0194
596.33,0.0197
599.53,0.0201
602.73,0.0203
605.92,0.0198
609.12,0.0195
612.32,0.0183
615.51,0.0183
618.71,0.0185
621.91,0.0174
625.1,0.0179
628.3,0.018
631.5,0.0172
634.69,0.0178
637.89,0.0186
641.09,0.0172
644.28,0.0177
647.48,0.0177
650.67,0.0154
653.87,0.0174
657.07,0.0155
660.27,0.0141
663.46,0.0154
666.66,0.0154
669.85,0.0157
673.05,0.0148
676.25,0.0153
679.45,0.0148
682.64,0.0159
685.84,0.0187
689.03,0.0289
692.23,0.0392
695.43,0.0494
698.62,0.0597
701.82,0.0699
705.02,0.0802
708.21,0.0904
711.41,0.1007
714.61,0.1109
717.8,0.1212
721.0,0.1315
724.2,0.1417
727.39,0.152
730.59,0.1622
733.79,0.1725
736.98,0.1827
740.18,0.193
743.38,0.2082
746.57,0.2228
749.77,0.2347
752.97,0.2398
756.16,0.245
759.36,0.2501
762.56,0.2552
765.75,0.2603
768.95,0.2654
772.15,0.2706
775.34,0.2844
778.54,0.277
781.74,0.2762
784.93,0.2834
788.13,0.2809
791.33,0.2825
794.52,0.2841
797.72,0.2857
800.92,0.2873
804.11,0.2889
807.31,0.2905
810.51,0.2921
813.7,0.2937
816.9,0.2953
820.1,0.2969
823.29,0.2985
826.49,0.3001
829.68,0.3017
832.88,0.3033
836.08,0.3049
