wavelength_nm,value
414.13,0.0179
417.32,0.0181
420.52,0.0209
423.72,0.0183
426.91,0.026
430.11,0.023
433.31,0.0223
436.5,0.0223
439.7,0.0216
442.9,0.0243
446.09,0.0263
449.29,0.0217
452.49,0.0228
455.68,0.0247
458.88,0.0249
462.08,0.0243
465.27,0.0249
468.47,0.0217
471.67,0.024
474.86,0.0246
478.06,0.0252
481.26,0.0258
484.45,0.0274
487.65,0.0266
490.85,0.0267
494.04,0.0259
497.24,0.0262
500.43,0.03
503.63,0.0284
506.83,0.0312
510.03,0.0323
513.22,0.0366
516.42,0.041
519.61,0.0451
522.81,0.048
526.01,0.0535
529.2,0.0561
532.4,0.0637
535.6,0.0645
538.79,0.0692
541.99,0.0691
545.19,0.073
548.38,0.0727
551.58,0.0724
554.78,0.0753
557.97,0.0747
561.17,0.0733
564.37,0.0694
567.56,0.0699
570.76,0.0654
573.96,0.0613
577.15,0.0605
580.35,0.0571
583.55,0.0561
586.74,0.0556
589.94,0.0542
593.14,0.054
596.33,0.0505
599.53,0.0519
602.73,0.0514
605.92,0.0533
609.12,0.0491
612.32,0.048
615.51,0.047
618.71,0.0472
621.91,0.0455
625.1,0.0459
628.3,0.0443
631.5,0.0451
634.69,0.045
637.89,0.0445
641.09,0.0437
644.28,0.0411
647.48,0.0404
650.67,0.0368
653.87,0.0368
657.07,0.036
660.27,0.0326
663.46,0.0339
666.66,0.0324
669.85,0.0318
673.05,0.0313
676.25,0.0297
679.45,0.0327
682.64,0.0331
685.84,0.0374
689.03,0.0543
692.23,0.0712
695.43,0.0881
698.62,0.1049
701.82,0.1219
705.02,0.1387
708.21,0.1556
711.41,0.1725
714.61,0.1894
717.8,0.2063
721.0,0.2232
724.2,0.2401
727.39,0.257
730.59,0.2739
733.79,0.2908
736.98,0.3077
740.18,0.3246
743.38,0.3501
746.57,0.3662
749.77,0.3739
752.97,0.3787
756.16,0.3835
759.36,0.3883
762.56,0.3931
765.75,0.3978
768.95,0.4026
772.15,0.4074
775.34,0.4121
778.54,0.4089
781.74,0.4159
784.93,0.4174
788.13,0.4238
791.33,0.4248
794.52,0.4258
797.72,0.4269
800.92,0.4279
804.11,0.4289
807.31,0.4299
810.51,0.4309
813.7,0.4319
816.9,0.433
820.1,0.434
823.29,0.435
826.49,0.436
829.68,0.437
832.88,0.438
836.08,0.439
839.28,0.4401
842.47,0.4411
845.67,0.4429
848.86,0.4521
852.06,0.4401
855.26,0.4429
858.46,0.4301
861.65,0.4418
864.85,0.4612
868.04,0.4458
871.24,0.448
874.44,0.4399
877.63,0.4481
880.83,0.4556
884.03,0.4513
887.22,0.4692
890.42,0.4518
893.62,0.4672
896.81,0.468
900.01,0.4681
903.21,0.4685
906.4,0.468
909.6,0.4679
912.8,0.4678
915.99,0.4674
919.19,0.4665
922.39,0.4652
925.58,0.4643
928.78,0.4635
931.98,0.4625
935.17,0.4599
938.37,0.4576
941.57,0.4557
944.76,0.4545
947.96,0.4526
951.16,0.4503
954.35,0.4483
957.55,0.4469
960.75,0.4459
963.94,0.4448
967.14,0.4438
970.1,0.4428
975.54,0.4421
980.98,0.4414
986.42,0.4416
991.86,0.4417
997.3,0.4412
1002.74,0.4449
1008.18,0.4501
1013.62,0.4614
1019.06,0.4716
1024.5,0.4757
1029.95,0.4726
1035.39,0.4661
1040.83,0.4653
1046.27,0.4724
1051.71,0.4806
1057.15,0.4909
1062.59,0.4983
1068.03,0.5006
1073.47,0.4875
1078.91,0.4845
1084.35,0.4862
1089.79,0.477
1095.23,0.4724
1100.67,0.4696
1106.11,0.4656
1111.55,0.4614
1116.99,0.4559
1122.43,0.4493
1127.87,0.4424
1133.32,0.4334
1138.76,0.4202
1144.2,0.4064
1149.64,0.3947
1155.08,0.3856
1160.52,0.3774
1165.96,0.3706
1171.4,0.3653
1176.84,0.3606
1182.28,0.3572
1187.72,0.3652
1193.16,0.3732
1198.6,0.3979
1204.04,0.3809
1209.48,0.3913
1214.92,0.388
1220.36,0.4005
1225.8,0.409
1231.24,0.408
1236.69,0.4202
1242.13,0.4279
1247.57,0.4327
1253.01,0.4383
1258.45,0.4503
1263.89,0.4548
1269.33,0.4392
1274.77,0.4181
1280.21,0.4367
1285.65,0.4297
1291.09,0.4383
1296.53,0.4351
1301.97,0.4352
1307.41,0.4234
1312.85,0.4207
1318.29,0.3886
1323.73,0.3828
1329.17,0.4413
1334.61,0.4181
1340.06,0.402
1345.5,0.3861
1350.94,0.3653
1356.38,0.3444
1361.82,0.3249
1367.26,0.3074
1372.7,0.2903
1378.14,0.2685
1383.58,0.2437
1389.02,0.2201
1394.46,0.1976
1399.9,0.1763
1405.34,0.1595
1410.78,0.1443
1416.22,0.1299
1421.66,0.12
1427.1,0.111
1432.54,0.1033
1437.98,0.0979
1443.43,0.0924
1448.87,0.0889
1454.31,0.0857
1459.75,0.0824
1465.19,0.0806
1470.63,0.0779
1476.07,0.0742
1481.51,0.0696
1486.95,0.0723
1492.39,0.0749
1497.83,0.0809
1503.27,0.0962
1508.71,0.0951
1514.15,0.1122
1519.59,0.1182
1525.03,0.1284
1530.47,0.1333
1535.91,0.1442
1541.35,0.1501
1546.8,0.1579
1552.24,0.1638
1557.68,0.1728
1563.12,0.1734
1568.56,0.1882
1574.0,0.1866
1579.44,0.1849
1584.88,0.1929
1590.32,0.1968
1595.76,0.2001
1601.2,0.2087
1606.64,0.2131
1612.08,0.2193
1617.52,0.2152
1622.96,0.2187
1628.4,0.2263
1633.84,0.2264
1639.28,0.234
1644.72,0.2329
1650.17,0.2333
1655.61,0.2357
1661.05,0.2386
1666.49,0.2373
1671.93,0.2403
1677.37,0.2411
1682.81,0.2418
1688.25,0.2396
1693.69,0.2347
1699.13,0.2334
1704.57,0.2306
1710.01,0.229
1715.45,0.2254
1720.89,0.2218
1726.33,0.2163
1731.77,0.2117
1737.21,0.2157
1742.65,0.2066
1748.09,0.2043
1753.54,0.2043
1758.98,0.1935
1764.42,0.1946
1769.86,0.1743
1775.3,0.1762
1780.74,0.1642
1786.18,0.1591
1791.62,0.154
1797.06,0.1487
1802.5,0.1416
1807.94,0.1162
1813.38,0.0918
1818.82,0.0685
1824.26,0.0461
1829.7,0.041
1835.14,0.0385
1840.58,0.0361
1846.02,0.0338
1851.46,0.0318
1856.91,0.0305
1862.35,0.0292
1867.79,0.028
1873.23,0.0267
1878.67,0.0254
1884.11,0.0241
1889.55,0.0227
1894.99,0.0215
1900.43,0.0203
1905.87,0.0199
1911.31,0.0195
1916.75,0.019
1922.19,0.0188
1927.63,0.0187
1933.07,0.0186
1938.51,0.0185
1943.95,0.0182
1949.39,0.018
1954.83,0.0186
1960.28,0.019
1965.72,0.0193
1971.16,0.0188
1976.6,0.018
1982.04,0.0174
1987.48,0.0258
1992.92,0.0343
1998.36,0.0344
2003.8,0.0655
2009.24,0.0424
2014.68,0.0513
2020.12,0.0567
2025.56,0.0533
2031.0,0.0536
2036.44,0.0537
2041.88,0.0574
2047.32,0.0552
2052.76,0.0649
2058.2,0.0602
2063.65,0.0629
2069.09,0.0692
2074.53,0.0731
2079.97,0.069
2085.41,0.0732
2090.85,0.0734
2096.29,0.0782
2101.73,0.0791
2107.17,0.0786
2112.61,0.0811
2118.05,0.0832
2123.49,0.0852
2128.93,0.0917
2134.37,0.0896
2139.81,0.0916
2145.25,0.0902
2150.69,0.0945
2156.13,0.0955
2161.57,0.0969
2167.02,0.0978
2172.46,0.0995
2177.9,0.0956
2183.34,0.1
2188.78,0.1041
2194.22,0.0995
2199.66,0.1059
2205.1,0.1059
2210.54,0.1063
2215.98,0.1048
2221.42,0.1045
2226.86,0.1041
2232.3,0.1019
2237.74,0.1006
2243.18,0.0991
2248.62,0.1003
2254.06,0.0952
2259.5,0.0936
2264.94,0.0951
2270.39,0.0872
2275.83,0.0852
2281.27,0.0865
2286.71,0.0822
2292.15,0.0751
2297.59,0.0838
2303.03,0.0846
2308.47,0.0747
2313.91,0.0612
2319.35,0.0759
2324.79,0.0709
2330.23,0.0644
2335.67,0.062
2341.11,0.063
2346.55,0.0556
2351.99,0.062
2357.43,0.0618
2362.87,0.0522
2368.32,0.0608
2373.76,0.0598
2379.2,0.0541
2384.64,0.0576
2390.08,0.0434
2395.52,0.0414
2400.96,0.0423
2406.4,0.0507
2411.84,0.0415
2417.28,0.0457
2422.72,0.0386
2428.16,0.0357
2433.6,0.0614
2439.04,0.0299
2444.48,0.0199
2449.92,0.0744
2455.36,0.0418
2460.8,0.0593
2466.24,0.051
2471.69,0.0328
2477.13,0.0729
2482.57,0.0436
2488.01,0.1178
2493.45,0.5177
2498.89,0.1295
