wavelength_nm,value
414.13,0.0254
417.32,0.0292
420.52,0.0269
423.72,0.0254
426.91,0.0303
430.11,0.035
433.31,0.0296
436.5,0.034
439.7,0.0349
442.9,0.0367
446.09,0.0334
449.29,0.035
452.49,0.0386
455.68,0.0367
458.88,0.0385
462.08,0.0387
465.27,0.0361
468.47,0.0389
471.67,0.0417
474.86,0.0418
478.06,0.0414
481.26,0.0431
484.45,0.0474
487.65,0.0453
490.85,0.0468
494.04,0.0473
497.24,0.0519
500.43,0.0507
503.63,0.0504
506.83,0.0522
510.03,0.0542
513.22,0.0571
516.42,0.06
519.61,0.0591
522.81,0.0596
526.01,0.0604
529.2,0.0607
532.4,0.0658
535.6,0.0678
538.79,0.0705
541.99,0.0687
545.19,0.0729
548.38,0.075
551.58,0.0737
554.78,0.0772
557.97,0.0798
561.17,0.0813
564.37,0.079
567.56,0.0803
570.76,0.082
573.96,0.085
577.15,0.0831
580.35,0.0814
583.55,0.0846
586.74,0.0877
589.94,0.0866
593.14,0.0878
596.33,0.0864
599.53,0.0835
602.73,0.0875
605.92,0.0875
609.12,0.0851
612.32,0.086
615.51,0.0873
618.71,0.0841
621.91,0.0863
625.1,0.0896
628.3,0.0891
631.5,0.0875
634.69,0.0883
637.89,0.0888
641.09,0.0904
644.28,0.0925
647.48,0.0929
650.67,0.0911
653.87,0.0901
657.07,0.0899
660.27,0.085
663.46,0.085
666.66,0.0882
669.85,0.0881
673.05,0.0902
676.25,0.0882
679.45,0.0865
682.64,0.0892
685.84,0.0959
689.03,0.0929
692.23,0.09
695.43,0.087
698.62,0.084
701.82,0.0811
705.02,0.0781
708.21,0.0751
711.41,0.0722
714.61,0.0692
717.8,0.0662
721.0,0.0633
724.2,0.0603
727.39,0.0573
730.59,0.0544
733.79,0.0514
736.98,0.0484
740.18,0.0455
743.38,0.046
746.57,0.0474
749.77,0.047
752.97,0.0474
756.16,0.0477
759.36,0.0481
762.56,0.0484
765.75,0.0488
768.95,0.0491
772.15,0.0495
775.34,0.0506
778.54,0.0504
781.74,0.0495
784.93,0.0509
788.13,0.0525
791.33,0.0518
794.52,0.051
797.72,0.0503
800.92,0.0496
804.11,0.0488
807.31,0.0481
810.51,0.0474
813.7,0.0466
816.9,0.0459
820.1,0.0452
823.29,0.0444
826.49,0.0437
829.68,0.043
832.88,0.0422
836.08,0.0415
839.28,0.0408
842.47,0.04
845.67,0.0385
848.86,0.0369
852.06,0.0394
855.26,0.0356
858.46,0.035
861.65,0.0327
864.85,0.037
868.04,0.034
871.24,0.0331
874.44,0.0329
877.63,0.0309
880.83,0.0308
884.03,0.0315
887.22,0.0306
890.42,0.0272
893.62,0.031
896.81,0.031
900.01,0.0305
903.21,0.03
906.4,0.0294
909.6,0.0289
912.8,0.0284
915.99,0.0278
919.19,0.0273
922.39,0.0268
925.58,0.0262
928.78,0.0257
931.98,0.0252
935.17,0.0246
938.37,0.0241
941.57,0.0236
944.76,0.023
947.96,0.0225
951.16,0.0219
954.35,0.0214
957.55,0.0209
960.75,0.0203
963.94,0.0198
967.14,0.0193
970.1,0.0187
975.54,0.0182
980.98,0.0173
986.42,0.0164
991.86,0.0155
997.3,0.0146
1002.74,0.0137
1008.18,0.0121
1013.62,0.0119
1019.06,0.0126
1024.5,0.0133
1029.95,0.0147
1035.39,0.0138
1040.83,0.0137
1046.27,0.0144
1051.71,0.0141
1057.15,0.0154
1062.59,0.0154
1068.03,0.016
1073.47,0.0153
1078.91,0.0149
1084.35,0.0147
1089.79,0.0145
1095.23,0.0143
1100.67,0.0141
1106.11,0.0139
1111.55,0.0137
1116.99,0.0135
1122.43,0.0134
1127.87,0.0132
1133.32,0.013
1138.76,0.0128
1144.2,0.0126
1149.64,0.0124
1155.08,0.0122
1160.52,0.012
1165.96,0.0119
1171.4,0.0117
1176.84,0.0115
1182.28,0.0113
1187.72,0.0111
1193.16,0.0109
1198.6,0.0125
1204.04,0.0118
1209.48,0.0118
1214.92,0.0113
1220.36,0.0114
1225.8,0.0132
1231.24,0.0124
1236.69,0.0126
1242.13,0.013
1247.57,0.0127
1253.01,0.0122
1258.45,0.0135
1263.89,0.0138
1269.33,0.0138
1274.77,0.0116
1280.21,0.0117
1285.65,0.0118
1291.09,0.0126
1296.53,0.0123
1301.97,0.0123
1307.41,0.0121
1312.85,0.0133
1318.29,0.0122
1323.73,0.0128
1329.17,0.0169
1334.61,0.0166
1340.06,0.0162
1345.5,0.0159
1350.94,0.0156
1356.38,0.0152
1361.82,0.0149
1367.26,0.0146
1372.7,0.0142
1378.14,0.0139
1383.58,0.0136
1389.02,0.0133
1394.46,0.013
1399.9,0.0126
1405.34,0.0123
1410.78,0.012
1416.22,0.0117
1421.66,0.0114
1427.1,0.0111
1432.54,0.0108
1437.98,0.0105
1443.43,0.0102
1448.87,0.0099
1454.31,0.0096
1459.75,0.0093
1465.19,0.009
1470.63,0.0086
1476.07,0.0083
1481.51,0.008
1486.95,0.0077
1492.39,0.0074
1497.83,0.0058
1503.27,0.0045
1508.71,0.0059
1514.15,0.0084
1519.59,0.0057
1525.03,0.0067
1530.47,0.0068
1535.91,0.0073
1541.35,0.0057
1546.8,0.0067
1552.24,0.0063
1557.68,0.0071
1563.12,0.0065
1568.56,0.0071
1574.0,0.0073
1579.44,0.0062
1584.88,0.0063
1590.32,0.0071
1595.76,0.0072
1601.2,0.007
1606.64,0.0073
1612.08,0.0084
1617.52,0.0075
1622.96,0.0077
1628.4,0.0078
1633.84,0.0072
1639.28,0.0077
1644.72,0.0071
1650.17,0.0085
1655.61,0.0068
1661.05,0.0084
1666.49,0.0077
1671.93,0.0067
1677.37,0.008
1682.81,0.0076
1688.25,0.0091
1693.69,0.008
1699.13,0.0077
1704.57,0.0075
1710.01,0.0077
1715.45,0.0075
1720.89,0.0081
1726.33,0.0089
1731.77,0.0085
1737.21,0.0086
1742.65,0.008
1748.09,0.0074
1753.54,0.0083
1758.98,0.0084
1764.42,0.0091
1769.86,0.0072
1775.3,0.0078
1780.74,0.0078
1786.18,0.0077
1791.62,0.0076
1797.06,0.0075
1802.5,0.0075
1807.94,0.0074
1813.38,0.0073
1818.82,0.0073
1824.26,0.0072
1829.7,0.0071
1835.14,0.007
1840.58,0.007
1846.02,0.0069
1851.46,0.0068
1856.91,0.0068
1862.35,0.0067
1867.79,0.0066
1873.23,0.0066
1878.67,0.0065
1884.11,0.0065
1889.55,0.0064
1894.99,0.0063
1900.43,0.0063
1905.87,0.0062
1911.31,0.0061
1916.75,0.0061
1922.19,0.006
1927.63,0.0059
1933.07,0.0059
1938.51,0.0058
1943.95,0.0058
1949.39,0.0057
1954.83,0.0056
1960.28,0.0056
1965.72,0.0055
1971.16,0.0055
1976.6,0.0054
1982.04,0.0053
1987.48,0.0053
1992.92,0.0052
1998.36,0.0054
2003.8,0.0
2009.24,0.0097
2014.68,0.012
2020.12,0.013
2025.56,0.006
2031.0,0.0048
2036.44,0.006
2041.88,0.0088
2047.32,0.0074
2052.76,0.0089
2058.2,0.0073
2063.65,0.0089
2069.09,0.0086
2074.53,0.008
2079.97,0.0058
2085.41,0.0078
2090.85,0.0046
2096.29,0.008
2101.73,0.0077
2107.17,0.0052
2112.61,0.0065
2118.05,0.0069
2123.49,0.006
2128.93,0.0083
2134.37,0.0066
2139.81,0.0055
2145.25,0.0052
2150.69,0.0043
2156.13,0.0043
2161.57,0.0078
2167.02,0.0063
2172.46,0.0071
2177.9,0.0074
2183.34,0.0072
2188.78,0.0048
2194.22,0.0127
2199.66,0.0081
2205.1,0.0056
2210.54,0.0061
2215.98,0.0087
2221.42,0.0084
2226.86,0.0086
2232.3,0.0109
2237.74,0.0097
2243.18,0.0103
2248.62,0.0081
2254.06,0.0074
2259.5,0.0115
2264.94,0.0113
2270.39,0.009
2275.83,0.0043
2281.27,0.0093
2286.71,0.0086
2292.15,0.0089
2297.59,0.0079
2303.03,0.0103
2308.47,0.0081
2313.91,0.0062
2319.35,0.0097
2324.79,0.0099
2330.23,0.0102
2335.67,0.0089
2341.11,0.0112
2346.55,0.0141
2351.99,0.0155
2357.43,0.0134
2362.87,0.0102
2368.32,0.0113
2373.76,0.015
2379.2,0.0183
2384.64,0.0208
2390.08,0.0174
2395.52,0.016
2400.96,0.0081
