# Hyperspectral spectrum export
# Source: data\images\221000_Odra_HS_Blok_A_013_VS_join_atm.hdr
# Pixel: col=100  row=1133
# data ignore value: 15000.0
# reflectance scale factor: 10000.0
wavelength_nm,dn_value,valid
414.13,179,1
417.32,193,1
420.52,178,1
423.72,219,1
426.91,204,1
430.11,216,1
433.31,203,1
436.5,190,1
439.7,196,1
442.9,201,1
446.09,189,1
449.29,201,1
452.49,190,1
455.68,188,1
458.88,195,1
462.08,188,1
465.27,185,1
468.47,159,1
471.67,196,1
474.86,178,1
478.06,181,1
481.26,197,1
484.45,204,1
487.65,194,1
490.85,187,1
494.04,178,1
497.24,194,1
500.43,214,1
503.63,193,1
506.83,193,1
510.03,193,1
513.22,210,1
516.42,238,1
519.61,221,1
522.81,234,1
526.01,247,1
529.2,283,1
532.4,303,1
535.6,305,1
538.79,314,1
541.99,315,1
545.19,319,1
548.38,327,1
551.58,324,1
554.78,328,1
557.97,338,1
561.17,325,1
564.37,305,1
567.56,308,1
570.76,290,1
573.96,270,1
577.15,267,1
580.35,258,1
583.55,245,1
586.74,242,1
589.94,241,1
593.14,240,1
596.33,235,1
599.53,232,1
602.73,242,1
605.92,234,1
609.12,235,1
612.32,225,1
615.51,216,1
618.71,206,1
621.91,207,1
625.1,208,1
628.3,211,1
631.5,209,1
634.69,208,1
637.89,203,1
641.09,201,1
644.28,204,1
647.48,211,1
650.67,200,1
653.87,192,1
657.07,197,1
660.27,173,1
663.46,184,1
666.66,177,1
669.85,178,1
673.05,181,1
676.25,189,1
679.45,184,1
682.64,192,1
685.84,205,1
689.03,316,1
692.23,428,1
695.43,539,1
698.62,651,1
701.82,762,1
705.02,874,1
708.21,985,1
711.41,1097,1
714.61,1208,1
717.8,1320,1
721,1432,1
724.2,1543,1
727.39,1655,1
730.59,1766,1
733.79,1878,1
736.98,1989,1
740.18,2101,1
743.38,2254,1
746.57,2477,1
749.77,2604,1
752.97,2665,1
756.16,2725,1
759.36,2786,1
762.56,2847,1
765.75,2908,1
768.95,2968,1
772.15,3029,1
775.34,3072,1
778.54,3109,1
781.74,3141,1
784.93,3131,1
788.13,3172,1
791.33,3186,1
794.52,3199,1
797.72,3213,1
800.92,3226,1
804.11,3239,1
807.31,3253,1
810.51,3266,1
813.7,3280,1
816.9,3293,1
820.1,3307,1
823.29,3320,1
826.49,3333,1
829.68,3347,1
832.88,3360,1
836.08,3374,1
839.28,3387,1
842.47,3401,1
845.67,3397,1
848.86,3490,1
852.06,3548,1
855.26,3498,1
858.46,3347,1
861.65,3452,1
864.85,3560,1
868.04,3502,1
871.24,3374,1
874.44,3524,1
877.63,3553,1
880.83,3478,1
884.03,3560,1
887.22,3495,1
890.42,3653,1
893.62,3573,1
896.81,3580,1
900.01,3527,1
903.21,3476,1
906.4,3419,1
909.6,3363,1
912.8,3309,1
915.99,3251,1
919.19,3189,1
922.39,3125,1
925.58,3064,1
928.78,3003,1
931.98,2941,1
935.17,2869,1
938.37,2799,1
941.57,2732,1
944.76,2670,1
947.96,2604,1
951.16,2535,1
954.35,2468,1
957.55,2407,1
960.75,2347,1
963.94,2287,1
967.14,2228,1
970.1,2170,1
975.54,2117,1
980.98,2022,1
986.42,1932,1
991.86,1841,1
997.3,1745,1
1002.74,1665,1
1008.18,1602,1
1013.62,1636,1
1019.06,1668,1
1024.5,1674,1
1029.95,1660,1
1035.39,1662,1
1040.83,1682,1
1046.27,1693,1
1051.71,1741,1
1057.15,1790,1
1062.59,1804,1
1068.03,1810,1
1073.47,1763,1
1078.91,1782,1
1084.35,1789,1
1089.79,1750,1
1095.23,1731,1
1100.67,1719,1
1106.11,1703,1
1111.55,1685,1
1116.99,1662,1
1122.43,1635,1
1127.87,1608,1
1133.32,1573,1
1138.76,1520,1
1144.2,1465,1
1149.64,1419,1
1155.08,1383,1
1160.52,1352,1
1165.96,1325,1
1171.4,1304,1
1176.84,1285,1
1182.28,1271,1
1187.72,1293,1
1193.16,1314,1
1198.6,1412,1
1204.04,1358,1
1209.48,1391,1
1214.92,1375,1
1220.36,1422,1
1225.8,1475,1
1231.24,1493,1
1236.69,1532,1
1242.13,1557,1
1247.57,1586,1
1253.01,1626,1
1258.45,1675,1
1263.89,1714,1
1269.33,1642,1
1274.77,1566,1
1280.21,1624,1
1285.65,1611,1
1291.09,1634,1
1296.53,1651,1
1301.97,1618,1
1307.41,1589,1
1312.85,1560,1
1318.29,1440,1
1323.73,1426,1
1329.17,1632,1
1334.61,1547,1
1340.06,1485,1
1345.5,1423,1
1350.94,1343,1
1356.38,1262,1
1361.82,1187,1
1367.26,1121,1
1372.7,1057,1
1378.14,975,1
1383.58,881,1
1389.02,792,1
1394.46,707,1
1399.9,627,1
1405.34,564,1
1410.78,507,1
1416.22,454,1
1421.66,417,1
1427.1,384,1
1432.54,355,1
1437.98,336,1
1443.43,317,1
1448.87,303,1
1454.31,291,1
1459.75,278,1
1465.19,271,1
1470.63,260,1
1476.07,245,1
1481.51,228,1
1486.95,231,1
1492.39,235,1
