# Hyperspectral spectrum export
# Source: data\images\221000_Odra_HS_Blok_A_015_VS_join_atm.hdr
# Pixel: col=3410  row=432
# data ignore value: 15000.0
# reflectance scale factor: 10000.0
wavelength_nm,dn_value,valid
414.13,155,1
417.32,128,1
420.52,153,1
423.72,130,1
426.91,115,1
430.11,136,1
433.31,141,1
436.5,144,1
439.7,118,1
442.9,125,1
446.09,158,1
449.29,133,1
452.49,153,1
455.68,137,1
458.88,164,1
462.08,142,1
465.27,152,1
468.47,142,1
471.67,131,1
474.86,142,1
478.06,160,1
481.26,167,1
484.45,165,1
487.65,157,1
490.85,148,1
494.04,157,1
497.24,164,1
500.43,174,1
503.63,157,1
506.83,165,1
510.03,172,1
513.22,172,1
516.42,182,1
519.61,185,1
522.81,182,1
526.01,193,1
529.2,184,1
532.4,181,1
535.6,204,1
538.79,219,1
541.99,210,1
545.19,215,1
548.38,215,1
551.58,226,1
554.78,216,1
557.97,236,1
561.17,216,1
564.37,221,1
567.56,226,1
570.76,234,1
573.96,217,1
577.15,221,1
580.35,214,1
583.55,226,1
586.74,219,1
589.94,229,1
593.14,217,1
596.33,214,1
599.53,210,1
602.73,210,1
605.92,215,1
609.12,211,1
612.32,199,1
615.51,210,1
618.71,204,1
621.91,207,1
625.1,195,1
628.3,195,1
631.5,184,1
634.69,189,1
637.89,196,1
641.09,207,1
644.28,199,1
647.48,202,1
650.67,197,1
653.87,190,1
657.07,194,1
660.27,173,1
663.46,187,1
666.66,173,1
669.85,174,1
673.05,181,1
676.25,173,1
679.45,174,1
682.64,176,1
685.84,201,1
689.03,200,1
692.23,199,1
695.43,199,1
698.62,198,1
701.82,197,1
705.02,197,1
708.21,196,1
711.41,195,1
714.61,195,1
717.8,194,1
721,194,1
724.2,193,1
727.39,192,1
730.59,192,1
733.79,191,1
736.98,190,1
740.18,190,1
743.38,195,1
746.57,202,1
749.77,212,1
752.97,213,1
756.16,215,1
759.36,216,1
762.56,218,1
765.75,220,1
768.95,221,1
772.15,223,1
775.34,222,1
778.54,244,1
781.74,224,1
784.93,223,1
788.13,231,1
791.33,231,1
794.52,232,1
797.72,233,1
800.92,233,1
804.11,234,1
807.31,234,1
810.51,235,1
813.7,236,1
816.9,236,1
820.1,237,1
823.29,237,1
826.49,238,1
829.68,239,1
832.88,239,1
836.08,240,1
839.28,241,1
842.47,241,1
845.67,246,1
848.86,228,1
852.06,248,1
855.26,227,1
858.46,194,1
861.65,245,1
864.85,238,1
868.04,220,1
871.24,237,1
874.44,268,1
877.63,231,1
880.83,253,1
884.03,227,1
887.22,244,1
890.42,224,1
893.62,253,1
896.81,253,1
900.01,249,1
903.21,246,1
906.4,243,1
909.6,239,1
912.8,236,1
915.99,232,1
919.19,229,1
922.39,225,1
925.58,222,1
928.78,219,1
931.98,215,1
935.17,212,1
938.37,208,1
941.57,205,1
944.76,201,1
947.96,198,1
951.16,195,1
954.35,191,1
957.55,188,1
960.75,184,1
963.94,181,1
967.14,177,1
970.1,174,1
975.54,171,1
980.98,165,1
986.42,159,1
991.86,153,1
997.3,148,1
1002.74,142,1
1008.18,129,1
1013.62,117,1
1019.06,138,1
1024.5,139,1
1029.95,133,1
1035.39,137,1
1040.83,135,1
1046.27,139,1
1051.71,129,1
1057.15,136,1
1062.59,153,1
1068.03,150,1
1073.47,147,1
1078.91,144,1
1084.35,143,1
1089.79,142,1
1095.23,141,1
1100.67,141,1
1106.11,140,1
1111.55,139,1
1116.99,138,1
1122.43,137,1
1127.87,136,1
1133.32,135,1
1138.76,134,1
1144.2,134,1
1149.64,133,1
1155.08,132,1
1160.52,131,1
1165.96,130,1
1171.4,129,1
1176.84,128,1
1182.28,127,1
1187.72,127,1
